unique_values,counts
0,79
Extension of police powers / duties,55
Suspension of elections,49
Executive decision-making,32
Extension of local authorities power,15
Set up of a dedicated crisis accountability mechanism,14
Accountability measures,7
Suspension of initative & referendums,6
Extension of executive powers,5
Extension of local government(s) power,5
Accountability mechanism,5
Suspension of Synod,2
Changes in legislative powers,2
Extention of executive powers,2
Executive decison-making,1
Suspension of elections; suspension of referendums,1
Changes in courts' function,1
Monitoring at the airports,1
Powers to enter homes to check lockdown at discretion of police,1
Change of ordinary court procedure,1
