id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	que ce principe implique que lorsqu'un risque grave présente une forte probabilité de se réaliser, il revient aux autorités publiques d'adopter des mesures urgentes et provisoires	False	False	False	False	False	False	False	False
1	Ai concessionari di servizi di trasporto aereo, ferroviario e autostradale e’ fatto obbligo di acquisire € mettere a disposizione delle Forze  dell’Ordine e dell’Unita’ di Crisi regionale istituita con decreto del Presidente della Giunta Regionale n.45/2020, dei Comuni e delle AASSLL i : nominativi dei viaggiatori, relativamente alle tratte provenienti da Milano o dalle Province indicate al comma con destinazione aeroporti e le stazioni ferroviarie, anche dell’Alta velocita del territorio regionale.	False	True	False	False	False	False	False	False
2	VISTA la legge regionale 18 febbraio 2002, n. 6, recante “Disciplina del sistema organizzativo della Giunta e del Consiglio e disposizioni relative alla dirigenza regionale”;	False	False	False	False	False	False	False	False
3	Voor de onder 4 tot en met 7 genoemde maatregelen kunt u een voorziening in de noodverordening te treffen, opdat optreden krachtens die verordening mogelijk is indien dat noodzakelijk is.	False	False	False	False	False	False	False	False
4	2)ograniczenie obowiązku świadczenia pracy przez pracowników uczelni wymienionych wpkt1na ich terenie, zwyłą-czeniem przypadków, gdy jest to niezbędne do zapewnienia ciągłości funkcjonowania tych uczelni.	False	False	False	True	False	False	False	False
5	Article 1I. - Il est créé un traitement de données dénommé « StopCovid », dont le responsable est le ministre chargé de la santé (direction générale de la santé).Ce traitement de données à caractère personnel, qui repose sur une application mobile et un serveur central, est mis en œuvre dans le cadre d'une mission d'intérêt public conformément au e du paragraphe 1 de l'article 6 du règlement (UE) du 27 avril 2016 susvisé, et pour les motifs d'intérêt public mentionnés au i du paragraphe 2 de l'article 9 de ce même règlement.	False	True	True	False	False	False	False	False
6	I. - Afin de ralentir la propagation du virus, les mesures d'hygiène définies en annexe 1 au présent décret et de distanciation sociale, incluant la distanciation physique d'au moins un mètre entre deux personnes, dites barrières, définies au niveau national, doivent être observées en tout lieu et en toute circonstance.	False	False	True	False	False	False	False	False
7	in coerenza con le linee guida dell'Organizzazione Mondiale della Sanità e in conformità alle attuali evidenze scientifiche, per proteggere gli operatori sanitari, di fare ricorso anche alle mascherine chirurgiche, quale idoneo dispositivo di protezione individuale, finanche alle mascherine prive del marchio CE, previa  valutazione di idoneità da parte dell'Istituto Superiore di Sanità (art. 34 DL 9/2020);	False	False	True	False	False	False	False	False
8	De in de voetnoot genoemde aanwijzingen) zijn met ingang van 29 april 2020 niet meer van toepassing.	False	False	False	False	False	False	False	False
9	VISTO l'art. 32 della Costituzione;	False	False	False	False	False	False	False	False
10	 Les autorités communales et les autorités de police administrative sont chargées de l'exécution du présent arrêté.	False	False	False	False	False	True	False	False
11	Hierbij geldt dat de 1,5 m gehandhaafd wordt vanaf 3 personen.	False	False	False	False	False	False	False	False
12	Considérant que l'urgence est motivée par le fait que depuis le 20 juillet 2020, toutes les personnes revenant, dans le contexte de la crise sanitaire provoquée par le coronavirus (COVID-19), d'une zone à risque située à l'étranger et regagnant leur résidence principale en région de langue allemande doivent se soumettre à une quarantaine et à un examen médical;	False	False	False	False	False	False	False	False
13	Considerato il carattere diﬀusivo dell'epidemia e del notevole incremento dei casi e dei decessi notifcati all’Organizzazione Mondiale della Sanità;	False	False	False	False	False	False	False	False
14	Considérant l'arrêté du Gouvernement de la Région de Bruxelles-Capitale du 21 mars 2018 relatif à la situation administrative et pécuniaire des membres du personnel contractuel des services publics régionaux de Bruxelles ;	False	False	False	False	False	False	False	False
15	(6) The reference in paragraph (3)(c) to a person involved in the holding of an event does not include a person whose only involvement in the event is, or would be, by attendance at the event.	False	False	False	False	False	False	False	False
16	VISTA la legge regionale l o luglio 2008, n. 12, recante riassetto organizzativo e territoriale del Servizio sanitario regionale;	False	False	False	False	False	False	False	False
17	Resta fermo quant’altro disposto con la propria ordinanza 9/2020.	False	False	False	False	False	False	False	False
18	VISTA la nota prot. n. TRNT-CPR DRPU\P\2020\0012774 del 16 marzo 2020 con la quale Trenitalia S.p.A., ad integrazione di quanto già comunicato con la nota del 13 marzo 2020, oggetto della precedente Ordinanza n. 6 del 16 marzo 2020, ed in linea con quanto disposto dal Ministero delle Infrastrutture e dei Trasporti sui servizi ferroviari di lunga percorrenza, ha trasmesso ulteriore proposta di razionalizzazione dei servizi di competenza al fine di fronteggiare la diffusione dell'epidemia da COVID-19, al fine di assicurare i livelli essenziali minimi di servizio, in modo da soddisfare, comunque, che durante il periodo di attuazione del piano i volumi di traffico delle fasce pendolari verranno costantemente monitorati allo scopo di evitare ogni rischio di sovraffollamento;	False	False	False	False	False	False	False	False
