id	text	event1	event2	event3	event4	event5	event6	event7	event8
"0"	"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office (FCO) now advises against ‘all but essential’ travel to mainland China."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"1"	"British people currently in China should make decisions based on their own personal circumstances, bearing in mind that travel may become more difficult in the coming days."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"2"	"Commercial options for departing China remain available except in Hubei Province. The Foreign Office is working to finalise arrangements for evacuating British nationals from Hubei."	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"True"
"3"	"Foreign Secretary Dominic Raab said: Due to the increasing travel restrictions and the public health situation, we now advise against all but essential travel to China."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"4"	"We are also working urgently to finalise arrangements for an assisted departure from Hubei Province for British nationals this week, and are in contact with people in Hubei to ensure they register their interest and that we can keep them updated."	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"True"
"5"	"The UK continues to be guided by the latest medical advice about the coronavirus outbreak. The safety and security of British people will always be our top priority"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"6"	"British people should consider whether they judge that travelling to or staying in China is essential."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"7"	"British nationals who require assistance can contact the FCO to speak to a member of staff."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"8"	"This advice refers to mainland China. It excludes Hong Kong and Macau."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"9"	"Due to increasing travel restrictions and difficulty accessing medical assistance, the FCO is working to make an option available for British nationals to leave Hubei Province. This may happen quickly and with short notice. If you’re a British national in Hubei Province and need assistance, contact our 24/7 number +86 (0) 10 8529 6600 or the FCO in London on (+44) (0)207 008 1500 to register your desire to leave before 29 January at 11am local time. You will be contacted once arrangements are confirmed."	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"True"
"10"	"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office advises against ‘all but essential’ travel to mainland China and now recommends that British Nationals who are able to leave China do so."	"False"	"False"	"False"	"True"	"True"	"False"	"False"	"True"
"11"	"Commercial airline options for departing China remain available throughout the country, except in Hubei Province."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"12"	"The Foreign Office continues to work on arrangements to evacuate any remaining British nationals from Hubei Province who wish to leave."	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"True"
"13"	"Read the full FCO Travel Advice for China. British nationals in China who need consular support should call +86 (0)10 8529 6600 or the FCO in London on +44 (0) 207 008 1500.
"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"14"	"Foreign Secretary Dominic Raab said: The safety and security of British people will always be our top priority. As such, we now advise British nationals in China to leave the country if they can, to minimise their risk of exposure to the virus. Where there are still British Nationals in Hubei Province who wish to be evacuated, we will continue to work around the clock to facilitate this.
"	"False"	"False"	"False"	"True"	"True"	"False"	"False"	"True"
"15"	"See latest information and actions for the public on the outbreak of Wuhan novel coronavirus, including the current situation in the UK and actions taken in the UK and abroad."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"16"	"As of Friday 7 February 2020, a total of 620 UK tests have concluded, of which 617 were confirmed negative and 3 positive."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"17"	"Based on the World Health Organization’s declaration that this is a public health emergency of international concern, the UK Chief Medical Officers have raised the risk to the public from low to moderate. This permits the government to plan for all eventualities. The risk to individuals remains low."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"18"	"If you have travelled from Wuhan or Hubei Province, China to the UK in the last 14 days you should immediately, even if you do not have symptoms of the virus: stay indoors and avoid contact with other people as you would with the flu
"	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"True"
"19"	"call NHS 111 to inform them of your recent travel to the area"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"20"	"If you have returned to the UK from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau in the last 14 days and develop symptoms of cough or fever or shortness of breath, you should immediately: stay indoors and avoid contact with other people as you would with the flu
"	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"True"
"21"	"call NHS 111 to inform them of your recent travel to the country"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"22"	"In Scotland, phone your GP or NHS 24 on 111 out of hours"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"23"	"If you are in Northern Ireland, call 111."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"24"	"The Foreign and Commonwealth Office has advised UK nationals to leave China where possible. If the situation continues to escalate the pressure on the Chinese health system may intensify, and it may also become harder for people to travel."	"False"	"False"	"False"	"False"	"True"	"False"	"False"	"True"
"25"	"As of Tuesday 28 January 2020, there are currently no confirmed cases in the UK or of UK citizens abroad, and the risk to the public remains low."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"26"	"The Foreign and Commonwealth Office (FCO) are advising against all but essential travel to the Hubei Province. Anyone travelling to China should remain vigilant and check the latest travel advice on GOV.UK."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"True"
"27"	"We have updated our guidance for individuals who have returned from Wuhan, China as follows:
If you have returned from Wuhan in the last 14 days:stay indoors and avoid contact with other people as you would with other flu viruses"	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"True"
"28"	"call NHS 111 to inform them of your recent travel to the city"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"29"	"Yvonne Doyle, Medical Director at PHE, said: Isolating yourself from other people, like you would with other flu viruses, is in step with the best scientific and expert advice on how to stop the coronavirus from spreading. "	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"True"
"30"	"This means taking simple, common sense steps, such as staying at home and avoiding close contact with other people as much as possible."	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"True"
"31"	"If you have visited Wuhan and develop a fever, difficulty breathing or a cough within 14 days, you should seek medical attention either in China or on your return to the UK."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"32"	"In the UK, please stay indoors and avoid contact with others where possible, call your GP or ring 111 informing them of your symptoms and your recent travel to the city."	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"False"
"33"	"UK public health measures are world leading and our excellent NHS is well prepared to manage and treat new diseases. We have been carefully monitoring the situation in Wuhan for some time and are ready to put in place proportionate, precautionary measures."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"34"	"From today, 22 January 2020, enhanced monitoring will be in place from all direct flights from Wuhan to the UK. The enhanced monitoring package includes a number of measures that will help to provide advice to travellers if they feel unwell."	"False"	"False"	"True"	"True"	"False"	"False"	"False"	"True"
