Paragraph text,Classification_label
"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office (FCO) now advises against ‘all but essential’ travel to mainland China.","0,0,0,1,0,0,0,1"
"British people currently in China should make decisions based on their own personal circumstances, bearing in mind that travel may become more difficult in the coming days.","0,0,0,1,0,0,0,1"
Commercial options for departing China remain available except in Hubei Province. The Foreign Office is working to finalise arrangements for evacuating British nationals from Hubei.,"0,0,0,0,1,0,0,1"
"Foreign Secretary Dominic Raab said: Due to the increasing travel restrictions and the public health situation, we now advise against all but essential travel to China.","0,0,0,1,0,0,0,1"
"We are also working urgently to finalise arrangements for an assisted departure from Hubei Province for British nationals this week, and are in contact with people in Hubei to ensure they register their interest and that we can keep them updated.","0,0,0,0,1,0,0,1"
The UK continues to be guided by the latest medical advice about the coronavirus outbreak. The safety and security of British people will always be our top priority,"0,0,0,0,0,0,0,1"
British people should consider whether they judge that travelling to or staying in China is essential.,"0,0,0,1,0,0,0,1"
British nationals who require assistance can contact the FCO to speak to a member of staff.,"0,0,0,0,0,0,0,1"
This advice refers to mainland China. It excludes Hong Kong and Macau.,"0,0,0,1,0,0,0,1"
"Due to increasing travel restrictions and difficulty accessing medical assistance, the FCO is working to make an option available for British nationals to leave Hubei Province. This may happen quickly and with short notice. If you’re a British national in Hubei Province and need assistance, contact our 24/7 number +86 (0) 10 8529 6600 or the FCO in London on (+44) (0)207 008 1500 to register your desire to leave before 29 January at 11am local time. You will be contacted once arrangements are confirmed.","0,0,0,0,1,0,0,1"
"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office advises against ‘all but essential’ travel to mainland China and now recommends that British Nationals who are able to leave China do so.","0,0,0,1,1,0,0,1"
"Commercial airline options for departing China remain available throughout the country, except in Hubei Province.","0,0,0,0,0,0,0,1"
The Foreign Office continues to work on arrangements to evacuate any remaining British nationals from Hubei Province who wish to leave.,"0,0,0,0,1,0,0,1"
"Read the full FCO Travel Advice for China. British nationals in China who need consular support should call +86 (0)10 8529 6600 or the FCO in London on +44 (0) 207 008 1500.
","0,0,0,1,0,0,0,1"
"Foreign Secretary Dominic Raab said: The safety and security of British people will always be our top priority. As such, we now advise British nationals in China to leave the country if they can, to minimise their risk of exposure to the virus. Where there are still British Nationals in Hubei Province who wish to be evacuated, we will continue to work around the clock to facilitate this.
","0,0,0,1,1,0,0,1"
"See latest information and actions for the public on the outbreak of Wuhan novel coronavirus, including the current situation in the UK and actions taken in the UK and abroad.","0,0,0,0,0,0,0,1"
"As of Friday 7 February 2020, a total of 620 UK tests have concluded, of which 617 were confirmed negative and 3 positive.","0,0,0,0,0,0,0,1"
"Based on the World Health Organization’s declaration that this is a public health emergency of international concern, the UK Chief Medical Officers have raised the risk to the public from low to moderate. This permits the government to plan for all eventualities. The risk to individuals remains low.","0,0,0,0,0,0,0,1"
"If you have travelled from Wuhan or Hubei Province, China to the UK in the last 14 days you should immediately, even if you do not have symptoms of the virus: stay indoors and avoid contact with other people as you would with the flu
","0,1,1,0,0,0,0,1"
call NHS 111 to inform them of your recent travel to the area,"0,0,1,0,0,0,0,1"
"If you have returned to the UK from China, Thailand, Japan, Republic of Korea, Hong Kong, Taiwan, Singapore, Malaysia or Macau in the last 14 days and develop symptoms of cough or fever or shortness of breath, you should immediately: stay indoors and avoid contact with other people as you would with the flu
","0,1,1,0,0,0,0,1"
call NHS 111 to inform them of your recent travel to the country,"0,0,1,0,0,0,0,1"
"In Scotland, phone your GP or NHS 24 on 111 out of hours","0,0,1,0,0,0,0,1"
"If you are in Northern Ireland, call 111.","0,0,1,0,0,0,0,1"
"The Foreign and Commonwealth Office has advised UK nationals to leave China where possible. If the situation continues to escalate the pressure on the Chinese health system may intensify, and it may also become harder for people to travel.","0,0,0,0,1,0,0,1"
"As of Tuesday 28 January 2020, there are currently no confirmed cases in the UK or of UK citizens abroad, and the risk to the public remains low.","0,0,0,0,0,0,0,1"
The Foreign and Commonwealth Office (FCO) are advising against all but essential travel to the Hubei Province. Anyone travelling to China should remain vigilant and check the latest travel advice on GOV.UK.,"0,0,0,1,0,0,0,1"
"We have updated our guidance for individuals who have returned from Wuhan, China as follows:
If you have returned from Wuhan in the last 14 days:stay indoors and avoid contact with other people as you would with other flu viruses","0,1,1,0,0,0,0,1"
call NHS 111 to inform them of your recent travel to the city,"0,0,1,0,0,0,0,1"
"Yvonne Doyle, Medical Director at PHE, said: Isolating yourself from other people, like you would with other flu viruses, is in step with the best scientific and expert advice on how to stop the coronavirus from spreading. ","0,1,1,0,0,0,0,1"
"This means taking simple, common sense steps, such as staying at home and avoiding close contact with other people as much as possible.","0,1,1,0,0,0,0,1"
"If you have visited Wuhan and develop a fever, difficulty breathing or a cough within 14 days, you should seek medical attention either in China or on your return to the UK.","0,0,0,0,0,0,0,0"
"In the UK, please stay indoors and avoid contact with others where possible, call your GP or ring 111 informing them of your symptoms and your recent travel to the city.","0,1,1,0,0,0,0,0"
"UK public health measures are world leading and our excellent NHS is well prepared to manage and treat new diseases. We have been carefully monitoring the situation in Wuhan for some time and are ready to put in place proportionate, precautionary measures.","0,0,0,0,0,0,0,0"
"From today, 22 January 2020, enhanced monitoring will be in place from all direct flights from Wuhan to the UK. The enhanced monitoring package includes a number of measures that will help to provide advice to travellers if they feel unwell.","0,0,1,1,0,0,0,1"
"For those travelling back directly from Wuhan, this includes a Port Health team who will meet each direct flight aircraft to provide advice and support to those that feel unwell. The team will include the Principal Port Medical Inspector, Port Health Doctor, Administrative Support, and Team Leader.","0,0,1,0,0,0,0,1"
They will check for symptoms of coronavirus and provide information to all passengers about symptoms and what to do if they become ill. Mandarin and Cantonese language support will be available to Public Health England (PHE) and leaflets will be available to passengers.,"0,0,0,0,0,0,0,0"
There are 3 direct flights a week that arrive at Heathrow from Wuhan. The enhanced monitoring of direct flights will be kept under continuous review and expanded to other Chinese departure points if necessary.,"0,0,1,0,0,0,0,1"
"Leaflets and information will be made available across all UK airports, advising travellers from China on what do to if they feel unwell.","0,0,0,0,0,0,0,0"
"The risk to the UK population has been assessed as low, based on the emerging evidence regarding case numbers, potential sources and human to human transmission, the risk to travellers to Wuhan is moderate. This has been raised from very low due to current evidence on the likelihood of cases being imported into this country.","0,0,0,0,0,0,0,0"
There are currently no confirmed cases of this new infection in the UK.,"0,0,0,0,0,0,0,0"
"The Department of Health and Social Care (DHSC) issued clinical guidance for the detection and diagnosis of Wuhan Novel Coronavirus and PHE has developed a diagnostic test, making the UK one of the first countries outside China to have a prototype specific laboratory test for this novel disease.","0,0,0,0,0,0,0,0"
"Dr Nick Phin, Deputy Director, National Infection Service, Public Health England, said:This is a new and rapidly evolving situation where information on cases and the virus is being gathered and assessed daily.  Based on the available evidence, the current risk to the UK is considered low. We are working with the WHO and other international partners, have issued advice to the NHS and are keeping the situation under constant review.","0,0,0,0,0,0,0,0"
"If you are traveling to Wuhan, you should maintain good hand, respiratory and personal hygiene and should avoid visiting animal and bird markets or people who are ill with respiratory symptoms. Individuals should seek medical attention if they develop respiratory symptoms within 14 days of visiting Wuhan, either in China or on their return to the UK. They should phone ahead before attending any health services and mention their recent travel to the city.","0,0,0,0,0,0,0,0"
"As of Monday 20 January 2020, the Wuhan Municipal Health Commission has reported 217 cases of Wuhan Novel Coronavirus. Four of these cases have been diagnosed outside of China – 2 in Thailand, one in Japan and one in South Korea, following travel to Wuhan, China. There have also now been cases in other cities in China. There have been 3 fatalities.","0,0,0,0,0,0,0,0"
"Based on the latest information and analysis, the World Health Organization (WHO) has said that there is evidence of limited human to human transmission of the virus.","0,0,0,0,0,0,0,0"
"Currently, the risk to the UK population is very low and the risk to travellers to Wuhan is low, but the situation is under constant review. However, in line with our robust preparedness activities for emerging infections, we have issued clinical guidance for the detection and diagnosis of Wuhan Novel Coronavirus. There are no confirmed cases of this new infection in the UK.","0,0,0,0,0,0,0,0"
"Dr Nick Phin, Deputy Director, National Infection Service, Public Health England, said: Based on the available evidence, the current risk to the UK is very low. We are working with the WHO and other international partners, have issued advice to the NHS and are keeping the situation under constant review.","0,0,0,0,0,0,0,0"
