id	text	event1	event2	event3	event4	event5	event6	event7	event8
"0"	"Directives pour la préparation à l'émergence d'une pandémie (coronavirus COVID-19) pour le personnel des services de la fonction publique administrative fédérale telle que définie à l'article 1er de la loi du 22 juillet 1993 portant certaines mesures en matière de fonction publique."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"1"	"Je souhaiterais rappeler aux différents services les directives relatives au coronavirus COVID-19 que vous pouvez retrouver sur www.info-coronavirus.be et sur www.sciensano.be."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"2"	"Aussi longtemps que vous n'êtes pas malade, vous devez aller travailler comme d'habitude ou, si votre employeur dispose d'un régime en matière de télétravail, vous pouvez demander à votre hiérarchie à en bénéficier dans le respect des règles en vigueur."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"3"	"Vous êtes au travail et vous vous sentez grippé ?
Avertissez le plus rapidement possible votre chef de service qui vous autorisera à quitter votre travail pour rentrer chez vous ou recevoir des soins médicaux."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"4"	"Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"5"	"Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"6"	"Il en va de même lorsqu'après votre rapatriement en Belgique, vous êtes placé en quarantaine."	"False"	"False"	"True"	"False"	"True"	"False"	"False"	"False"
"7"	"Si vous êtes malade et si vous êtes allé récemment en Chine ou dans un autre pays ayant un grand nombre de cas avérés de contamination au Covid-19, ou si une personne de votre entourage proche est malade et est allée en Chine ou dans un pays précité, appelez votre médecin-traitant en signalant votre voyage et vos symptômes."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"8"	"Le Ministre de la Sécurité et de l'Intérieur, Vu l'arrêté royal du 31 janvier 2003 portant fixation du plan d'urgence pour les événements et situations de crise nécessitant une coordination ou une gestion à l'échelon national"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"9"	"Article 1er. La phase fédérale du plan d'urgence national est déclenchée."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"10"	"Le présent arrêté est proposé par la Ministre flamande de la Mobilité et des Travaux publics. Après délibération, LE GOUVERNEMENT FLAMAND ARRETE"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"11"	"Les formations et examens organisés en externe, en exécution de la réglementation en matière de mobilité et de travaux publics, sont suspendus jusqu'à une date que nous déterminerons."	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"12"	"Une prorogation peut également être accordée aux citoyens qui ne sont pas en mesure de respecter les obligations légales dans le cadre de la réglementation en matière de mobilité et de travaux publics à cause du virus COVID-19"	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"13"	"Le ministre flamand, qui a les aéroports régionaux, les transports en commun, la politique générale de mobilité, la politique en matière d'infrastructure routière et la politique routière, l'infrastructure hydraulique et la politique de l'eau dans ses attributions, arrête les modalités de la prorogation visée dans les articles susmentionnés."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"14"	"Au sein des Universités, des Hautes Ecoles, des Ecoles supérieures des Arts et des Etablissements d'enseignement de promotion sociale, les activités d'apprentissage sont organisées à distance du 14 mars au 3 avril 2020 inclus."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"15"	"Art. 4. Are closed to the public within the framework of sports, competition or training, from March 14 to April 3, 2020 inclusive, indoor and outdoor sports facilities."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"16"	"Afin de permettre à la Communauté française de réagir à la pandémie de Covid-19, le Gouvernement peut prendre toutes les mesures utiles pour : a) suspendre les activités de services agréés, subventionnés ou organisés par la Communauté française; b) définir les modalités par lesquelles des activités peuvent être dispensées en vue de réduire les contacts sociaux ;"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"17"	"§ 1 - In order to allow the French Community to react to the Covid-19 pandemic, the Government can take all necessary measures to: f) adapt the requirements in terms of attendance, evaluation and certification of studies to the suspension of courses and learning activities;"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"18"	"Art. 2. - § 1er En cas d'impossibilité de réunir le Parlement de la Communauté française due à la pandémie de Covid-19 ou à des mesures ou des recommandations de confinement, générales ou particulières, et dûment constatées par le bureau du Parlement, le cas échéant au terme d'une délibération électronique si les membres de celui-ci ne peuvent pour les mêmes raisons se réunir physiquement, le Gouvernement peut, aux seules fins d'assurer la continuité du service public malgré la pandémie de Covid-19, prendre toutes les mesures utiles dans les matières qui relèvent de la compétence de la Communauté française dans le but soit de préparer la rentrée scolaire et académique 2020-2021, soit de répondre à une impérieuse nécessité dûment démontrée."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"19"	"§ 2. Les arrêtés prévus au § 1er peuvent abroger, compléter, modifier ou remplacer les dispositions décrétales en vigueur, même dans les matières qui sont expressément réservées au décret par ou en vertu de la Constitution."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"20"	"§ 3. Lorsqu'un décret prévoit qu'un arrêté du Gouvernement doit faire l'objet d'un décret de confirmation par le Parlement dans le délai qu'il définit, ce délai est suspendu pendant toute la durée des pouvoirs spéciaux organisés par le présent décret."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"21"	"Les arrêtés visés à l'article 2 peuvent être adoptés sans que les avis, concertations ou négociations légalement ou réglementairement requis soient préalablement recueillis ou organisés, si lesdits organes indiquent ne pas être en mesure de se prononcer dans le délai légal ou réglementaire ou le délai fixé par le Gouvernement eu égard à la pandémie de Covid-19."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"22"	"4. Les arrêtés visés aux articles 1er et 2 doivent être confirmés par décret dans un délai de six mois prenant cours à la fin de la période des pouvoirs spéciaux organisés par le présent décret."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"23"	"Les arrêtés visés aux articles 1er et 2 sont communiqués au bureau du Parlement avant leur publication au Moniteur belge."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"24"	"§ 1er. Afin de permettre à la Région wallonne de réagir à la pandémie de Covid-19, le Gouvernement peut, dans les matières qui relèvent de la compétence de la Région wallonne en vertu de l'article 138 de la Constitution, prendre toutes les mesures utiles pour prévenir et traiter toute situation qui pose problème dans le cadre strict de la pandémie Covid-19 et de ses conséquences et qui doit être réglée en urgence sous peine de péril grave."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
