id	text	event1	event2	event3	event4	event5	event6	event7	event8
"0"	"Directives for the preparation for the emergence of a pandemic (coronavirus COVID-19) for the staff of the federal administrative public service as defined in article 1 of the law of 22 July 1993 laying down certain measures in terms of public service."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"1"	"I would like to remind the various services of the directives relating to the COVID-19 coronavirus that you can find on www.info-coronavirus.be and on www.sciensano.be."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"2"	"As long as you are not sick, you must go to work as usual or, if your employer has a teleworking scheme, you can ask your superiors to benefit from it in accordance with the rules in force."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"3"	"Are you at work and you have the flu?
Notify your manager as soon as possible, who will allow you to leave your job to go home or receive medical care."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"4"	"Observe all the practical hygiene advice which can be found on www.info-coronavirus.be and on www.sciensano.be."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"5"	"Observe all the practical hygiene advice which can be found on www.info-coronavirus.be and on www.sciensano.be."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"True"
"6"	"The same applies when, after your repatriation to Belgium, you are placed in quarantine."	"False"	"False"	"True"	"False"	"True"	"False"	"False"	"False"
"7"	"If you are sick and have recently been to China or another country with a high number of proven cases of Covid-19 contamination, or if someone close to you is sick and has been to China or a country above, call your GP reporting your trip and symptoms."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"8"	"The Minister of Security and the Interior, Considering the Royal Decree of January 31, 2003 establishing the emergency plan for events and crisis situations requiring coordination or management at the national level"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"9"	"Article 1. The federal phase of the national emergency plan is launched."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"10"	"This decree is proposed by the Flemish Minister of Mobility and Public Works. After deliberation, THE FLEMISH GOVERNMENT ORDERS"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"11"	"The training and examinations organized externally, in accordance with the regulations on mobility and public works, are suspended until a date to be determined."	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"12"	"An extension may also be granted to citizens who are unable to meet legal obligations under mobility and public works regulations due to the COVID-19 virus."	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
