id	text	event1	event2	event3	event4	event5	event6	event7	event8	event9
BEL100001	Directives pour la préparation à l'émergence d'une pandémie (coronavirus COVID-19) pour le personnel des services de la fonction publique administrative fédérale telle que définie à l'article 1er de la loi du 22 juillet 1993 portant certaines mesures en matière de fonction publique.	True	False	False	False	False	False	False	False	True
BEL100002	Je souhaiterais rappeler aux différents services les directives relatives au coronavirus COVID-19 que vous pouvez retrouver sur www.info-coronavirus.be et sur www.sciensano.be.	False	False	False	False	False	False	False	True	False
BEL100003	Aussi longtemps que vous n'êtes pas malade, vous devez aller travailler comme d'habitude ou, si votre employeur dispose d'un régime en matière de télétravail, vous pouvez demander à votre hiérarchie à en bénéficier dans le respect des règles en vigueur.	False	False	False	True	False	False	False	False	False
BEL100004	 Vous êtes au travail et vous vous sentez grippé ?Avertissez le plus rapidement possible votre chef de service qui vous autorisera à quitter votre travail pour rentrer chez vous ou recevoir des soins médicaux.	False	False	True	False	False	False	False	False	False
BEL100005	Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be.	False	False	True	False	False	False	False	True	False
BEL100006	Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be.	False	False	True	False	False	False	False	True	False
BEL100007	Il en va de même lorsqu'après votre rapatriement en Belgique, vous êtes placé en quarantaine.	False	False	True	False	True	False	False	False	False
BEL100008	Si vous êtes malade et si vous êtes allé récemment en Chine ou dans un autre pays ayant un grand nombre de cas avérés de contamination au Covid-19, ou si une personne de votre entourage proche est malade et est allée en Chine ou dans un pays précité, appelez votre médecin-traitant en signalant votre voyage et vos symptômes.	False	False	True	False	False	False	False	False	False
BEL100009	Le Ministre de la Sécurité et de l'Intérieur, Vu l'arrêté royal du 31 janvier 2003 portant fixation du plan d'urgence pour les événements et situations de crise nécessitant une coordination ou une gestion à l'échelon national	True	False	False	False	False	False	False	False	False
BEL100010	Article 1er. La phase fédérale du plan d'urgence national est déclenchée.	True	False	False	False	False	False	False	False	False
BEL100011	Le présent arrêté est proposé par la Ministre flamande de la Mobilité et des Travaux publics. Après délibération, LE GOUVERNEMENT FLAMAND ARRETE	True	False	False	False	False	False	False	False	False
BEL100012	Les formations et examens organisés en externe, en exécution de la réglementation en matière de mobilité et de travaux publics, sont suspendus jusqu'à une date que nous déterminerons.	False	True	False	False	False	False	False	False	False
BEL100013	 Une prorogation peut également être accordée aux citoyens qui ne sont pas en mesure de respecter les obligations légales dans le cadre de la réglementation en matière de mobilité et de travaux publics à cause du virus COVID-19	False	True	False	True	False	False	False	False	False
