id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	Les entreprises ne peuvent organiser aucune activité culturelle, festive, récréative, touristique ou sportive.	False	False	False	True	False	False	False	False
1	o. La demande doit être réceptionnée au plus tard trois jours avant la mise en ligne.	False	False	False	False	False	False	False	False
2	Les mesures prescrites par le présent arrêté sont d'application jusqu'au 19 avril 2020 inclus	False	False	False	False	False	False	False	False
3	Le présent arrêté entre en vigueur le lendemain du jour de sa signature.	False	False	False	False	False	False	False	False
4	Le Parlement de la Communauté française a adopté et Nous, Gouvernement, sanctionnons ce qui suit	False	False	False	False	False	False	False	False
5	Sans préjudice de l'article 5, les entreprises et associations offrant des biens ou des services aux consommateurs exercent leurs activités conformément au protocole ou aux règles minimales qui ont été communiquées sur le site web du service public compétent.	False	False	False	False	False	False	False	False
6	Les infractions au présent arrêté seront sanctionnées des peines prévues à l'article 1er de la loi du 6 mars 1818, modifiée par les lois du 5 juin 1934 et du 14 juin 1963 concernant les contraventions aux règlements administratifs.	False	False	False	False	False	False	False	False
7	Considérant que les articles 30 à 36 de la loi du 8 juillet 1976 organique des centres publics d'action sociale précise les modalités de réunions et de délibérations des bureaux permanent ;	False	False	False	False	False	False	False	False
8	Art. 4. - Le gouvernement peut prolonger deux fois la durée des suspensions mentionnées aux articles 2 et 3 pour la même durée au moyen d'un arrêté spécialement justifié au regard de la nécessité.	True	False	False	False	False	False	False	False
9	Art. 5.3 - Sans préjudice de l'article 5.2, le Gouvernement est habilité, parallèlement à l'adoption par le Gouvernement fédéral d'une décision correspondante et en consultation avec les autres entités compétentes, à instaurer dans les domaines de compétence de la Communauté germanophone une prime de crise pour les professions particulièrement sollicitées dans le cadre de la pandémie de coronavirus (COVID-19).	True	False	False	False	False	False	False	False
10	Les crédits garantis sont, d'un point de vue temporel, les crédits accordés à partir de la date d'entrée en vigueur de l'arrêté visé à l'alinéa 1er jusqu'au 30 septembre 2020, et ont une durée maximale d'un an.	False	False	False	False	False	False	False	False
11	Considérant la déclaration du directeur régional de l'OMS pour l'Europe du 3 juin 2020, qui énonce que la transition vers « une nouvelle normalité » doit se fonder sur les principes de santé publique, ainsi que sur des considérations économiques et sociétales et que les décideurs à tous les niveaux doivent suivre le principe directeur selon lequel la transition doit s'effectuer progressivement et prudemment	False	False	False	False	False	False	False	False
12	Considérant que la situation sanitaire est évaluée régulièrement ; que cela signifie qu'un retour à des mesures plus strictes n'est jamais exclu ;	False	False	False	False	False	False	False	False
13	Les mesures nécessaires doivent être prises pour garantir le respect des règles de distanciation sociale, en particulier le maintien d'une distance d'1,5 mètre entre chaque personne.	False	False	True	False	False	False	False	False
