id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	Les mesures prises en application du présent chapitre peuvent faire l'objet, devant le juge administratif, des recours présentés, instruits et jugés selon les procédures prévues aux articles L. 521-1 et L. 521-2 du code de justice administrative.	True	False	False	False	False	False	False	False
1	Tout déplacement de personne hors de son lieu de résidence est interdit entre 20 heures et 6 heures du matin à l'exception des déplacements pour les motifs suivants, en évitant tout regroupement de personnes :	False	True	False	True	False	False	False	False
2	L’audition du général Christian Rodriguez, directeur général de la gendarmerie nationale, a été l’occasion de faire le point, en complément des missions de protection assurées par les gendarmes, sur l’opération « Répondre présent » qui vise à assurer une action de proximité, notamment auprès des personnes les plus fragiles.	False	False	False	False	False	False	True	False
3	Dans les départements et territoires mentionnés à l'annexe 2, le préfet de département interdit, dans les zones qu'il définit, aux seules fins de lutter contre la propagation du virus, les déplacements de personnes hors de leur lieu de résidence au cours d'une plage horaire comprise entre 20 heures et 6 heures du matin, à l'exception des déplacements pour les motifs suivants, en évitant tout regroupement de personnes	False	True	False	True	False	False	False	False
4	« Les mesures de mise en quarantaine, de placement et de maintien en isolement peuvent se dérouler, au choix des personnes qui en font l'objet, à leur domicile ou dans les lieux d'hébergement adapté.« Leur durée initiale ne peut excéder quatorze jours. Les mesures peuvent être renouvelées, dans les conditions prévues au III de l'article L. 3131-17 du présent code, dans la limite d'une durée maximale d'un mois. Il est mis fin aux mesures de placement et de maintien en isolement avant leur terme lorsque l'état de santé de l'intéressé le permet.	False	False	True	False	False	False	False	False
5	-Dans les départements mentionnés à l'annexe 2, tout déplacement de personne hors de son lieu de résidence est interdit entre 6 heures et 19 heures à l'exception des déplacements pour les motifs mentionnés au I et les motifs suivants, en évitant tout regroupement de personnes :	False	True	False	False	False	False	False	False
6	-Dans les circonscriptions territoriales où l'état d'urgence sanitaire est déclaré, le Premier ministre peut, par décret réglementaire pris sur le rapport du ministre chargé de la santé, aux seules fins de garantir la santé publique :« 4° Ordonner des mesures de placement et de maintien en isolement, au sens du même article 1er, à leur domicile ou tout autre lieu d'hébergement adapté, des personnes affectées ;	True	True	True	False	False	False	False	False
7	II. - Un accueil est assuré par les établissements mentionnés au 1° du I au profit des enfants âgés de moins de trois ans des personnels indispensables à la gestion de la crise sanitaire et à la continuité de la vie de la Nation.	False	False	False	True	False	False	False	False
8	Les établissements recevant du public relevant du type R défini par le règlement pris en application de l'article R. 123-12 du code de la construction et de l'habitation figurant ci-après peuvent accueillir du public :1° Etablissements d'éveil, les centres de vacances et les centres de loisirs sans hébergement dans les conditions prévues à l'article 32 ;2° Etablissements d'enseignement dans les conditions prévues aux articles 33 à 35.	False	False	False	True	False	False	False	False
9	Dans les véhicules routiers comportant plusieurs portes, l'entreprise interdit aux voyageurs d'utiliser la porte avant et leur permet de monter et descendre par toute autre porte. Toutefois l'utilisation de la porte avant est autorisée lorsque sont prises les dispositions permettant de séparer le conducteur des voyageurs d'une distance au moins égale à un mètre.	False	False	True	True	False	False	False	False
10	Jusqu'au 15 avril 2020, il est interdit aux navires de croisière et aux navires à passagers transportant plus de 100 passagers de faire escale en Corse, et de faire escale ou de mouiller dans les eaux intérieures et les eaux territoriales des départements et régions d'outre-mer, ainsi que de Saint-Barthélemy et Saint-Martin, Saint-Pierre-et-Miquelon, et Wallis-et-Futuna, sauf dérogation accordée par le représentant de l'Etat compétent pour ces mêmes collectivités.	False	False	False	True	False	False	False	False
11	Par dérogation aux dispositions des articles 63-4 et 63-4-2 du code de procédure pénale, l'entretien avec un avocat de la personne gardée à vue ou placée en rétention douanière, ainsi que l'assistance de la personne par un avocat au cours de ses auditions, peut se dérouler par l'intermédiaire d'un moyen de communication électronique, y compris téléphonique, dans des conditions garantissant la confidentialité des échanges.	False	False	False	False	False	False	False	False
