id	text	event1	event2	event3	event4	event5	event6	event7	event8
The safe and economical supply of medicines and medical aids and the distribution of medicines are commonXCVIII of 2006 on the rules of on the basis of the authorization received in Section 77 (2) (b) of the Act, to the members of the Government94/2018 on the tasks and powers of the (V. 22.) in the scope of duties specified in Section 92 (1) (3) of the Government DecreeActing as follows:	False	False	False	False	False	False	False	False	False
(1) Decree No. 44/2004 on the prescription and dispensing of medicinal products for human use. (IV. 28.) ESZCSM decree(hereinafter: R.) 20 / A. § (1) is replaced by the following provision:'1. In the case of an electronic prescription, the issuer of the medicinal product shall be the unique identifier of the electronic prescriptionfor the person presenting the certificate of prescription.	False	False	False	False	False	False	False	False	False
In the absence of a prescription, the medicine is dispensed- for the use of health care services in accordance with the Act on Compulsory Health Insurance Benefitsafter the necessary certification - only recorded by the patient in the patient's self-determination registerlegal representative and the patient on the basis of a power of attorney recorded in the register of self-determinationfor his authorized representative.	False	False	False	True	False	False	False	False	False
(2) R. 20 / A. The following paragraph (3) is added:"3. If the EESC is not available, the medicinal product shall bear the doctor's signature and the impression of his medical stamp.may also be issued on the basis of a prescription certificate. "	False	False	False	False	False	False	False	False	False
§ 2R. 20 / C. § is replaced by the following:„20 / C. § Obligations to record data are not available to the EESC for any reasonafter access has been restored, out of turn. "	False	False	False	False	False	False	False	False	False
§ 3R. is shown in the following 20 / D. The following section is added:„20 / D. § (1) A 20 / A. §, in the event of an emergency declared by the GovernmentThe prescriber dispenses the medicinal product without a prescription to the person communicating the patient's TAJ andhis personal identification data are credibly verified in accordance with a separate law.	False	False	False	False	False	False	False	False	False
2. The supplier of the medicinal product shall record the data referred to in paragraph 1 electronically.	False	False	False	False	False	False	False	False	False
§ 4R. 11 / C. § (2), the words “the Eüak. 14 / A. § (1c) in the EESC register of prescriptions(hereinafter referred to as the "EESC register of prescriptions)" is replaced by "in the EESC register of prescriptions".	False	False	False	False	False	False	False	False	False
§ 5 This Regulation shall enter into force on the day following that of its publication.	False	False	False	False	False	False	False	False	False
The government1. Calls on the Minister for Human Resources and the Minister for Innovation and Technology to:Act CXXVIII of 2011 on Disaster Management and Amendments to Certain Related Acts. Section 51 of the ActActing in accordance with the provisions of Paragraph 4 of the Act CXC of 2011 on Public Education. Section 7 a), k) and l) of the Actall public education and vocational training institutions (hereinafter referred to asschools) shall be determined taking into account:	False	False	False	False	False	False	False	False	False
b) From March 16, 2020, education in schools will be included in the digital work schedule outside the classroomto organize;	False	False	False	False	False	False	False	False	False
b)the digital agenda is defined in such a way that it is part of itba)designating the curriculum, monitoring and supporting the learning process for educators and studentsonline or in another relationship that does not require a face-to-face meeting	False	False	False	False	False	False	False	False	False
b) a digitális munkarend olyan módon kerül meghatározásra, hogy annak keretébenbb) a  tananyag tantermen kívüli, digitális munkarend keretében történő átadása alkalmas legyena tanuló tanulmányi követelményeinek teljesítésére;	False	False	False	False	False	False	False	False	False
c)a methodological recommendation shall be issued to implement point (b);	False	False	False	False	False	False	False	False	False
d)From 16 March 2020, based on the needs of parents, in justified cases, the National Public Education Actin the case of schools covered by this Regulation, the territorially competent tank district center, in the case of a vocational training institutionthe territorially competent vocational training center organizes day care for children and students on working dayssmall group supervision;	False	False	False	False	False	False	False	False	False
