id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	m) a kórházparancsnokról és az egészségügyi készlet védelméről szóló 72/2020. (III. 28.) Korm. rendelethatályát a veszélyhelyzet kihirdetéséről szóló 40/2020. (III. 11.) Korm. rendelet szerinti veszélyhelyzet megszűnéséigmeghosszabbítja.	False	False	False	False	False	False	False	False
1	d) 2020. március 16. napjától a szülők igényei alapján, indokolt esetben a nemzeti köznevelésről szóló törvényhatálya alá tartozó iskolák esetében a területileg illetékes tankerületi központ, szakképző intézmény esetébena  területileg illetékes szakképzési centrum munkanapokon megszervezi a  gyermekek, tanulók napközbenikiscsoportos felügyeletét	False	False	False	False	False	False	False	False
2	(2) Az R. 20/A. §-a a következő (3) bekezdéssel egészül ki:„(3) Ha az  EESZT nem érhető el, a  gyógyszer az  orvos aláírását és orvosi bélyegzőjének lenyomatát is tartalmazófelírási igazolás alapján is kiadható.”	False	False	False	False	False	False	False	False
3	4. § (1) A 3. § szerinti alapos indok:a) a munkavégzés, a hivatásbeli kötelezettség, a gazdasági, mezőgazdasági és erdészeti tevékenység, valamint az  ezek elvégzéséhez nélkülözhetetlen anyagokat, valamint eszközöket árusító üzletben (különösena műszaki cikket, az építőanyagot és eszközöket árusító üzletben) történő vásárlás,	False	False	False	False	False	False	False	False
4	1. § (1) Mindenki köteles más emberekkel a szociális érintkezést – a közös háztartásban élők kivételével – a lehető legkisebbmértékűre korlátozni, és a másik embertől lehetőség szerint legalább 1,5 méter távolságot tartani.	False	False	True	False	False	False	False	False
5	3. § (1) A  turisztikai, a  vendéglátóipari, a  szórakoztatóipari, a  szerencsejáték, a  filmipari, az  előadóművész, a rendezvényszervező és a sportszolgáltatást nyújtó ágazatok tekintetében a nem lakás céljára szolgáló helyiségre vonatkozó bérleti szerződéseket 2020. június 30-áig nem lehet felmondással megszüntetni. A  felmondási tilalom a Kormány rendeletével a veszélyhelyzet fennállásáig meghosszabbítható.	False	False	False	False	False	False	False	False
6	2. felhívja az  emberi erőforrások miniszterét, hogy gondoskodjon arról, hogy a  versenyszerűen sportolók részérea sporttevékenységükre figyelemmel speciális szolgáltatásokat nyújtó, jóváhagyott kollégiumi nevelési programmalrendelkező intézménya) a sportfoglalkozásokat, edzéseket legfeljebb tízfős csoportokban tartsa meg,	False	False	False	False	False	False	False	False
7	c) a b) alpontban foglaltak végrehajtása érdekében sor kerül módszertani ajánlás kiadására;	False	False	False	False	False	False	False	False
8	(3) A  veszélyhelyzet ideje alatt a  fokozottan veszélyes szolgálati beosztásban az  ilyen tevékenységre fordítható napi szolgálatteljesítési idő a Hszt. 135. § (3) bekezdésében meghatározott hat órás időtartamot legfeljebb három órávalmeghaladhatja.	False	False	False	False	False	False	False	False
9	1. § A Kormánya) az élet- és vagyonbiztonságot veszélyeztető tömeges megbetegedést okozó humánjárvány megelőzése,illetve következményeinek elhárítása, a  magyar állampolgárok egészségének és életének megóvásaérdekében elrendelt veszélyhelyzet során teendő intézkedésekről (III.) szóló 46/2020. (III. 16.) Korm. Rendelet	False	False	False	False	False	False	False	False
