id	text	event1	event2	event3	event4	event5	event6	event7	event8	event9
ITA100353	In order to ensure an adequate level of health protection air traffic is banned from China, as a country including areas where a sustained autochthonous transmission of the new new Coronavirus (2019 - nCoV) has occurred.	False	False	False	True	False	False	False	False	False
ITA100354	Establishment of the Technical and Scientific Committee referred to in Article 2, paragraph 1, of the Order of the Head of the Department of Civil Protection No 630 of 3 February 2020	False	False	False	False	False	False	False	True	False
ITA100355	The Committee defines, at its first convocation, the criteria and the modalities for the organization and the carrying out of its activities. The convocations are arranged by the Coordinator referred to in paragraph 1, also at the request of the Head of the Department of Civil Protection.	False	False	False	False	False	False	False	True	False
ITA100356	The Committee shall advise the Head of the Department of Civil Protection on the adoption of the most suitable prevention measures necessary to cope with the spread of pathologies deriving from transmissible viral agents.	False	False	False	False	False	False	False	True	False
ITA100357	The members of the Committee operate within the scope of their official duties.	False	False	False	False	False	False	False	True	False
ITA100358	 The Committee is integrated by the Director of Office V of the General Directorate for Health Prevention of the Ministry of Health and by the Coordinator of the Health Resources Service of Office I of the Department of Civil Protection as secretary of the Committee.	False	False	False	False	False	False	False	True	False
ITA100359	The Ministry of Education, also by way of derogation from Article 4, paragraphs 1 and 2 and Article 14, paragraph 7, of Presidential Decree No. 122 of June 22, 2009, adopts the necessary measures to ensure the validity of the 2019/2020 school year of students of all levels, who, returning from areas at risk of infection by viral transmissible agents referred to in the emergency in review, are subject to surveillance measures by the Department of Prevention of the local health reference, or submit themselves independently to a voluntary quarantine in their own homes.	False	True	True	False	False	False	False	False	False
ITA100360	Ocdpc n. 637 of February 21, 2020. Further urgent interventions of civil protection in relation to the emergency related to the health risk associated with the onset of diseases resulting from viral transmissible agents.	True	False	False	False	False	False	False	False	False
ITA100361	Article 1 (Additional powers to the Implementing Party of the Ministry of Health).	True	False	False	False	False	False	False	False	False
ITA100362	The Implementing Subject of the Ministry of Health, appointed by decree of the Head of the Department of Civil Protection rep. no. 414 of February 7, 2020, within the scope of the powers under Article 4 of Legislative Decree no. 1 of January 2, 2018, for the purposes of overcoming the emergency context indicated in the introduction, is authorized to enter into conventions or agreements with the supervised entities of the Ministry of Health, as well as to ensure any communication, information and training initiatives deemed necessary.	True	False	False	False	False	False	False	False	False
ITA100363	The Implementing Entity of the Ministry of Health is authorized to extend the contracts already authorized under Article 1, paragraph 2 of the Order of the Ministry of Health of January 25, 2020 and to confer further assignments of coordinated and continuous collaboration, to medical personnel, in the maximum number of 77 units, for a duration not exceeding the term of the state of emegency	True	False	False	False	False	False	False	False	False
ITA100364	Suspension of all public events of any nature, including religious ceremonies religious ceremonies;	False	True	False	True	False	False	False	False	False
ITA100365	Suspension of all commercial activities, with the exception of those of public utility and essential services essential services referred to in Articles 1 and 2 of Law June 12, 1990, n.146, subject to the provisions of provisions in the following points	False	False	False	True	False	False	False	False	False
ITA100366	3) Suspension of work activities for companies in the municipalities mentioned above, with the exception of those that provide essential services including zootechnics, and those that can be carried out athome (such as, for example, those carried out in telework);	False	False	False	True	False	False	False	False	False
ITA100367	4) Suspension of work for workers residing in the above-mentioned municipalities, including those outside the area indicated, with the exception of those working in essential services	False	False	False	True	False	False	False	False	False
ITA100368	Suspension of participation in recreational and sporting activities for citizens residing in these municipalities regardless of the place of the event;	False	False	False	True	False	False	False	False	False
ITA100369	 Suspension of the educational services of childhood and schools of all levels in the municipalities above mentioned;	False	False	False	False	False	False	False	False	False
ITA100370	Suspension of attendance of school activities and educational services by the population residing in the municipalities mentioned above, with the exclusion of the frequency of university online courses	False	False	False	True	False	False	False	False	False
ITA100371	Interdiction of public transportation stops in the above municipalities.	False	False	False	True	False	False	False	False	False
ITA100372	The territorially competent health company provides the measure of quarantine with active surveillance, for fourteen days, for subjects who have had close contact with confirmed positive cases of infectious disease COVID-19.	True	False	True	False	False	False	False	False	False
ITA100373	 The territorially competent Health Authority adopts the measure of fiduciary home stay with active surveillance for subjects who, in the last 14 days, have entered Italy after having stayed in the areas of China affected by the epidemic.	True	False	True	False	False	False	False	False	False
ITA100374	If there are particular conditions that prevent the home stay, the health company, in agreement with the competent local authorities and with the local authorities and voluntary associations, must find alternative measures of equivalent equivalent effectiveness.	False	False	True	False	False	False	False	False	False
ITA100375	At the onset of mild symptoms such as rhinorrhea, cough, difficulty in breathing and fever, the subject should be given an oral-pharyngeal swab at home.	False	False	True	False	False	False	False	False	False
ITA100376	Without prejudice to the preventive measures already adopted to avoid the diagnostic recourse to the emergency room, in case of improper access, the officer in charge of collecting personal data will ask the user to declare if in the previous 14 days he/she has had close contacts with confirmed cases of COVID-19 infectious disease	False	True	False	False	False	False	False	False	False
ITA100377	The ban on access to healthcare facilities is confirmed for individuals as per art. 1 and art. 2. art. 1 and art. 2 and the use of the active surveillance numbers (118 - Public Hygiene for any communication, information and needs.	False	False	True	False	False	False	False	False	False
ITA100378	Decree of the President of the Council of Ministers of February 23, 2020 - Implementing provisions of Decree-Law No. 6 of February 23, 2020, containing urgent measures for the containment and management of the epidemiological emergency from COVID-19.	True	False	False	False	False	False	False	False	False
ITA100379	prohibition of removal from the Municipalities indicated in Annex 1, by all individuals however present in the same;	False	True	False	True	False	False	False	False	False
ITA100380	b) ban on entering the municipalities listed in Annex 1;	False	True	False	True	False	False	False	False	False
ITA100381	c) suspension of demonstrations or initiatives of any kind, of events and of any form of meeting in public or private places, including those of a cultural, recreational, sporting and religious nature, even if held in closed places open to the public	False	True	False	True	False	False	False	False	False
ITA100382	suspension of childhood education services and schools of all levels, as well as the attendance of school and higher education activities, including university, except for training activities carried out at a distance;	False	False	False	True	False	False	False	False	False
ITA100383	suspension of educational trips in Italy or abroad organized by educational institutions of the national education system;	False	True	False	True	False	False	False	False	False
ITA100384	suspension of the services of opening to the public of museums and other institutions and places of culture referred to in art. 101 of the code of cultural heritage and landscape, referred to in Legislative Decree 22 January 2004, n. 42, as well as the effectiveness of the regulatory provisions on free access to these institutions and places;	False	False	False	True	False	False	False	False	False
ITA100385	suspension of the activities of public offices, without prejudice to the provision of essential services and public utilities, in accordance with the procedures and limits indicated by order of the Prefect territorially competent;	False	False	False	False	False	False	False	False	True
ITA100386	closure of all commercial activities, with the exclusion of those of public utility and of essential public services pursuant to articles 1 and 2 of Law no. 146 of June 12, 1990, according to the modalities and limits indicated by order of the territorially competent Prefect, including commercial establishments for the purchase of essential goods;	False	False	False	True	False	False	False	False	False
ITA100387	obligation to access essential public services, as well as commercial establishments for the purchase of essential goods, wearing personal protective equipment or adopting special precautionary measures identified by the Department of Prevention of the competent local health authorities;	False	False	True	False	False	False	False	False	False
ITA100388	suspension of the services of transport of goods and persons, land, rail, inland waters and local public, including non-scheduled	False	True	False	True	False	False	False	False	False
ITA100389	suspension of work activities for companies, with the exception of those that provide essential services and public utilities, including veterinary activities, as well as those that can be carried out at home or remotely.	False	False	False	True	False	False	False	False	False
ITA100390	suspension of the performance of work activities for workers residing or domiciled, even de facto, in the municipality or in the area concerned, even if the same activities take place outside the municipality or the area indicated	False	False	False	True	False	False	False	False	False
ITA100391	In implementation of Article 3, paragraph 1, of Decree-Law No. 6 of February 23, 2020, and for the purposes referred to in the same article, individuals who since February 1, 2020 have transited and stayed in the municipalities listed in Annex 1 to this Decree are obliged to communicate this circumstance to the Department of Prevention of the competent health company for the territory, for the purpose of the adoption, by the competent health authority, of any necessary measure, including fiduciary home stay with active surveillance.	False	True	True	False	False	False	False	False	False
ITA100392	The territorially competent Prefect, informing in advance the Minister of the Interior, ensures the execution of the measures by making use of the Police Forces and, where necessary, with the possible concurrence of the regional nuclei N.B.C.R. of the National Fire Brigade Corps, as well as the Armed Forces, having heard the competent territorial commands.	True	False	False	False	False	True	True	False	False
ITA100393	the closure of public and private social and educational services for early childhood for the days of February 24 and 25, 2020;	False	False	False	True	False	False	False	False	False
ITA100394	the suspension of teaching activities at the University of Trento, San Michele Agricultural Institute, Bruno Kessler Foundation, for the days of February 24 and 25, 2020, and the closure of the university libraries and study	False	False	False	True	False	False	False	False	False
ITA100396	the cancellation of recreational or sports events of an extraordinary nature that take place in enclosed places and for which a large number of people are expected to gather;	False	False	False	True	False	False	False	False	False
ITA100397	the suspension of school trips outside the provincial territory on Italian territory.	False	True	False	True	False	False	False	False	False
ITA100398	In order to ensure the most effective coordination of the activities carried out by the competent structures of the Piedmont Region in the fields of civil protection and health for the management of the emergency referred to in the introduction, the President of the Region is appointed as the implementing entity under Article 1, paragraph 1, of the Order of the Head of the Department of Civil Protection No 630 of 3 February 2020.	True	False	False	False	False	False	False	False	False
ITA100399	The implementing entity referred to in paragraph 1 operates on the basis of specific directives issued by the Head of the Department of Civil Protection as well as in close connection with the coordination structure of the Department of Civil Protection activated for the management of the emergency referred to in the introduction, as provided for in Article 1, paragraph 1, of the Order of the Head of the Department of Civil Protection No 630 of 3 February 2020.	True	False	False	False	False	False	False	False	False
