id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	VISTA l’Ordinanza del Presidente della Regione n. 1 del 27 febbraio 2020;	True	False	False	False	False	False	False	False
1	Per le finalità di cui alla presente ordinanza è costituito il Coordinamento per le attività necessarieal contenimento della diffusione del COVID-19 della Presidenza della Regione Siciliana, composto dai rappresentanti degli Uffici di cui nelle premesse. La sua attività è coordinata dal Presidente della Regione Siciliana o suo delegato.	False	False	False	False	False	False	False	True
2	La mancata osservanza degli obblighi di cui alla presente ordinanza, comporterà le conseguenze sanzionatorie come per legge (art. 650 c.p., se il fatto non costituisce più grave reato).	False	False	False	False	False	False	False	False
3	Nei territori provinciali in cui ricadono i comuni nei quali è stato riscontrato almeno un caso di positività al COVID – 19 non ricadente nella tipologia di all’art. 1, comma 1 del Decreto Legge n. 6 del 23/02/2020, si rimanda alla valutazione della Prefettura – UTG l’eventuale necessità di attivazione del CCS.	True	False	False	False	False	False	False	False
4	5. Al fine di ulteriormente contrastare le forme di assembramento di persone a tutela della salute pubblica sul territorio regionale, l’apertura degli esercizi commerciali di qualsiasi dimensione per la vendita di generi alimentari esentate dalla sospensione disposta con l’art. 1 DPCM 11.3.2020, compresi gli esercizi minori interni ai centri commerciali, è vietata nella giornata della domenica, ferme le altre restrizioni relative alla vendita al dettaglio di cui al citato DPCM dell’11.3.2020; si riconferma, a fini di chiarezza, l’apertura di farmacie, parafarmacie ed edicole;	False	False	False	True	False	False	False	False
5	Per gli ospiti già presenti nella struttura in tale momento l’ospitalità non può protrarsi oltre le 72 ore successive all’entrata in vigore del presente provvedimento.	False	False	False	True	False	False	False	False
6	al comma 2 che “tra le misure di cui al comma 1, possono essere adottate anche le seguenti: a) divieto di allontanamento dal comune o dall'area interessata da parte di tutti  gli  individui comunque  presenti  nel  comune  o nell'area”;	False	False	False	False	False	False	False	False
7	Riprogrammazione temporanea del servizio di trasporto pubblico locale con eventuale soppressione delle corse o rimodulazione degli orari da parte dell'agenzia AMR in accordo con l'operatore di trasporto, garantendo i livelli essenziali di mobilità pubblica e limitatamente al territorio provinciale di Rimini.	False	False	False	True	False	False	False	False
8	chiusura degli accessi alle persone che non hanno rapporto di lavoro con le aziende.	False	False	False	False	False	False	False	False
9	Le disposizioni di cui alla presente ordinanza producono effetto dal 22/03/2020 fino al 15/04/2020.	False	False	False	False	False	False	False	False
10	Considerato l'evolversi della situazione epidemiologica, il carattere particolarmente diffusivo dell'epidemia e l'incremento dei casi sul territorio nazionale e regionale;	False	False	False	False	False	False	False	False
11	E’ vietato lo svolgimento di fiere e mercati per la vendita al dettaglio, anche relativi ai generi alimentari;	False	False	False	True	False	False	False	False
12	Sono sospese le attività di palestre, centri sportivi, piscine, centri natatori, centri benessere, centri termali (fatta eccezione per l’erogazione delle prestazioni rientranti nei LEA), centri culturali, centri sociali e centri ricreativi.	False	False	False	True	False	False	False	False
13	OGGETTO: Misure urgenti in materia di contenimento e gestione dell'emergenza epidemiologica da virus COVID19. Disposizioni per il contrasto  dell’assembramento di persone	False	False	False	True	False	False	False	False
14	-che i provvedimenti nazionali e regionali per l’emergenza hanno la finalità di ridurre ogni possibile diffusione del contagio, soprattutto attraverso l’adozione di stringenti misure di prevenzione e di distanziamento sociale;	False	False	False	False	False	False	False	False
15	CONSIDERATO che, per quanto detto, è necessario assumere ulteriori misure di contrasto e di contenimentoaggiuntive rispetto a quelle assunte dal livello nazionale e con proprie precedenti ordinanze, riducendo drasticamente all’interno dei comuni della Vallata del Fino (Comuni di Castilenti, Castiglione Messer Raimondo, Bisenti, Arsita e Montefino) ogni opportunità di socializzazione, limitando al massimo la mobilità delle persone residenti per un congruo periodo di tempo;	False	False	False	False	False	False	False	False
16	PRESO ATTO della nota del Presidente della Conferenza delle Regioni e delle Province autonome prot. n.1322 del 25 febbraio 2020 con cui, facendo seguito agli esiti della riunione politica di coordinamento GovernoRegioni sullo schema di Ordinanza delle Regioni senza cluster, sono state trasmesse al Ministro per gli affari regionali e le autonomie e al Capo del Dipartimento della Protezione Civile le proposte di modifica elaborate dalle Regioni e Province autonome;	False	False	False	False	False	False	False	False
17	Oggetto: Urgenti misure per la prevenzione e gestione dell’emergenza epidemiologica da COVID2019.	True	False	False	False	False	False	False	False
