id	text	event1	event2	event3	event4	event5	event6	event7	event8
NLD100001	Ik geef u opdracht om alle evenementen met meer dan 100 personen in uw regio in de periode van 13 maart tot en met 31 maart 2020 af te gelasten.	False	False	False	False	False	False	False	False	False
NLD100002	De Minister van Infrastructuur en Waterstaat,Handelende in overeenstemming met de Minister voor Medische Zorg en Sport,	False	False	False	False	False	False	False	False	False
NLD100004	Ik geef u opdracht om, aanvullend op de eerdere opdracht, vanaf 15 maart 2020, 18:00u ook te zorgen voor sluiting van alle eet- en drinkgelegenheden, sport- en fitnessclubs, sauna's, seksinrichtingen en coffeeshops.	False	False	False	True	False	False	False	False	False
NLD100005	Verder geef ik u de opdracht het verbod op de organisatie van alle evenementen en bijeenkomsten met meer dan 100 personen in uw regio te verlengen tot en met 6 april 2020.	False	False	False	True	False	False	False	False	False
NLD100006	Gehoord hebbende het advies van het Outbreak Management Team en het Bestuurlijk Afstemmingsoverleg van 12 maart 2020 heeft de Ministeriële Commissie Crisisbeheersing op 15 maart 2020 besloten dat er vanaf 16 maart 2020 tot en  met 6 april 2020 geen onderwijsactiviteiten en geen opvang geboden mogen worden in onderwijsinstellingenl en verblijven voor kinderopvang en gastouderopvang met enkele uitzonderingen die hierna worden beschreven.	False	False	False	False	False	False	False	False	False
NLD100008	Gehoord hebbende het advies van het Outbreak Management Team en het Bestuurlijk Afstemmingsoverleg van 18 maart 2020 en een advies van Verenso (Vereniging van specialisten ouderengeneeskunde) heeft de Ministeriële Commissie Crisisbeheersing van 19 maart 2020, in aanwezigheid van een vertegenwoordigervan de voorzitters veiligheidsregio's, besloten dat vanaf 20 maart 2020 tot en met 6 april 2020 alle verpleeghuizen en kleinschalige woonvormen in de ouderenzorg preventief worden gesloten voor bezoek en voor alle anderen die niet noodzakelijk zijn voor de basiszorg.	False	False	False	False	False	False	False	False	False
NLD100009	Gehoord hebbende het advies van het Outbreak Management Team en het Bestuurlijk Afstemmingsoverleg van 23 maart 2020 en na overleg in de Ministeriële Commissie Crisisbeheersing van 23 maart 2020, geef ik u op basis van artikel 7 van de Wet publieke gezondheid, in aanvulling op de eerdere aanwijzingen voor bestrijding van de uitbraak van COVID-19, onderstaande opdracht. U dient uw bevoegdheden op het terrein van openbare orde en veiligheid als be_x0002_doeld in artikel 39 van de Wet veiligheidsregio's, waaronder, indien nodig, het op_x0002_nemen van voorschriften in een noodverordening als bedoeld in artikel 176 van de  Gemeentewet, in te zetten opdat zo spoedig mogelijk na deze aanwijzing de vol_x0002_gende maatregelen worden getroffen: 1. Verbod voor alle vergunningsplichtige en meldplichtige evenementen tot 1 juni  2020. 2. Verbod voor alle overige samenkomsten, waarbij uitzonderingen gelden voor de volgende samenkomsten, mits betrokkenen te allen tijde 1,5 meter afstand hou_x0002_den tot de dichtstbijzijnde persoon: - wettelijk verplichte samenkomsten, zoals vergaderingen van gemeenteraden, mits daarbij niet meer dan 100 personen aanwezig zijn, alsook vergaderingen van de Staten-Generaal; - samenkomsten die nodig zijn voor de continuering van de dagelijkse werkzaam_x0002_heden van instellingen, bedrijven en andere organisaties, mits daarbij niet meer dan 100 personen aanwezig zijn - uitvaarten en huwelijksvoltrekkingen mits daarbij niet meer dan 30 personen aanwezig zijn; - samenkomsten van religieuze of levensbeschouwelijke aard, mits daarbij niet meer dan 30 personen aanwezig zijn. 3. Sluiten van casino's, speelhallen en daarmee vergelijkbare instellingen, alsook  sluiten van zaken waarbinnen op de uiterlijke verzorging gerichte contactberoepen worden uitgeoefend, zoals kapperszaken en nagelsalons. 4. Verbod op het uitoefenen van alle vormen van contactberoepen, waaronder masseurs, kappers, nagelstylisten, escortservices en rij-instructeurs, voor zover deze beroepen niet naar behoren met inachtneming van 1,5 meter afstand tot de klant kunnen worden uitgeoefend. Uitgezonderd is de uitoefening van (para)medi_x0002_sche beroepen, mits voor deze uitoefening een individuele medische indicatie be_x0002_staat en daarbij door de beoefenaar alle in verband met COVID-19 benodigde hy_x0002_giënevereisten in acht worden genomen. 5. Sluiten van winkels en markten, of beëindigen van openbaar vervoer, indien deze voorzieningen zich niet of niet in voldoende mate houden aan de verwezenlij_x0002_king van de beperkende maatregelen met betrekking tot het houden van 1,5 me_x0002_ter afstand tussen alle in de voorziening aanwezige personen, of aan het op ade_x0002_quate wijze zichtbaar duidelijk maken daarvan. 6. Sluiten van alle vormen van locaties, waaronder vakantieparken, campings, parken, natuurgebieden en stranden, indien op deze locaties niet of niet in vol_x0002_doende mate de beperkende maatregel met betrekking tot het houden van 1,5 meter afstand tussen daar aanwezige personen in acht wordt genomen of het niet in acht nemen daarvan dreigt. 7. Instellen van een verbod op al dan niet toevallige groepsvorming in (bepaalde delen van) de publieke ruimte. Onder groepsvorming wordt hierbij verstaan: drie of meer personen die daarbij niet of niet in voldoende mate een onderlinge af_x0002_stand van 1,5 meter in acht nemen. Van groepsvorming is geen sprake indien het personen betreft die een gezamenlijk huishouden vormen. Daarnaast is van groepsvorming geen sprake als het kinderen tot en met 12 jaar betreft die samen_x0002_spelen onder toezicht van een of meer ouders of voogden die daarbij onderling een afstand van 1,5 meter in acht nemen. De onder 2 en 3 bedoelde verboden dient u op te nemen in een noodverordening. Voor de onder 4 tot en met 7 genoemde maatregelen kunt u een voorziening in de noodverordening te treffen, opdat optreden krachtens die verordening mogelijk is indien dat noodzakelijk is. De onder 2 tot en met 7 bedoelde maatregelen zullen uiterlij	False	False	False	False	False	False	False	False	False
NLD100012	De door mij eerder verstrekte opdrachten worden met ingang van 7 april verlengd tot en met 28 april 2020.	False	False	False	False	False	False	False	False	False
NLD100014	In deze opdracht heb ik de eerdere aanwijzingen die ik aan alle voorzitters van de veiligheidsregio heb verstrekt, verwerkt en aangepast.	False	False	False	False	False	False	False	False	False
NLD100015	Buiten sporten en bewegen	False	False	False	False	False	False	False	False	False
NLD100016	Op 24 april en 8 mei heb ik u opdracht gegeven om uw bevoegdheden op het terrein van publieke gezondheid en openbare orde en veiligheid in te zetten om verschillende maatregelen te nemen die nodig zijn voor de bestrijding van COVID_x0002_19.	False	False	False	False	False	False	False	False	False
NLD100017	Openbaar vervoer	False	False	False	False	False	False	False	False	False
NLD100018	Voortgezet onderwijs	False	False	False	False	False	False	False	False	False
NLD100019	Basisonderwijs	False	False	False	False	False	False	False	False	False
NLD100020	Toetsing en praktijk(gericht) onderwijs middelbaar beroepsonderwijs en hoger onderwijs	False	False	False	False	False	False	False	False	False
NLD100022	Dat geldt  ook voor publieke locaties, zoals musea, concertzalen, theaters en sportclubs en  sportwedstrijden.	False	False	False	False	False	False	False	False	False
NLD100024	Gelet op artikel 21 van Verordening (EG) Nr. 1008/2008 van het Europees Parlement en de Raad van 24 september 2008 inzake gemeenschappelijke regels voor de exploitatie van luchtdiensten in de Gemeenschap (PbEU 2008, L 293) en artikel 5.10, eerste lid, onderdeel a, van de Wet luchtvaart;	False	False	False	False	False	False	False	False	False
NLD100025	BESLUIT:	False	False	False	False	False	False	False	False	False
NLD100026	Artikel 1. (begripsomschrijving)	    In deze regeling wordt verstaan onder:	False	False	False	False	False	False	False	False	False
NLD100027	Covid-19: ziekte veroorzaakt door het SARS-CoV-2 virus.	False	False	False	False	False	False	False	False	False
NLD100028	Artikel 2. (Verbod uitoefening burgerluchtverkeer)	False	False	False	False	False	False	False	False	False
NLD100029	1. Om redenen van openbare orde en veiligheid is ter bescherming van de volksgezondheid de uitoefening van burgerluchtverkeer in het luchtruim boven Nederland verboden voor luchtverkeer dat het vervoer van passagiers tot doel heeft, met luchthavens gelegen op Nederlands grondgebied als plaats van bestemming.	False	False	False	False	False	False	False	False	False
NLD100030	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:	False	False	False	False	False	False	False	False	False
NLD100031	2. Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:a. Italië;	False	False	False	False	False	False	False	False	False
NLD100032	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:b. China;	False	False	False	False	False	False	False	False	False
NLD100033	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:c. Iran;	False	False	False	False	False	False	False	False	False
NLD100034	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:d. Zuid-Korea;	False	False	False	False	False	False	False	False	False
NLD100035	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:e. Spanje;	False	False	False	False	False	False	False	False	False
NLD100036	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:f. Oostenrijk.	False	False	False	False	False	False	False	False	False
NLD100037	3 Het verbod, bedoeld in het eerste lid, geldt niet voor:	False	False	False	False	False	False	False	False	False
NLD100038	a. vluchten als bedoeld in het eerste lid, die op het tijdstip van inwerkingtreding reeds zijn aangevangen;	False	False	False	False	False	False	False	False	False
NLD100039	b. repatriëring van EU- of Schengeningezetenen en ingezetenen uit het Verenigd Koninkrijk, waarbij:	False	False	False	False	False	False	False	False	False
NLD100040	1° niet-Nederlands ingezetenen een aantoonbare doorreis hebben,	False	False	False	False	False	False	False	False	False
NLD100041	2° passagiers uitsluitend overeenkomstig WHO-richtsnoeren en de EU Healthy Gateways, No. 801493, aan boord worden toegelaten;	False	False	False	False	False	False	False	False	False
NLD100042	c. het vervoer van medisch personeel of patiënten wanneer dit in het belang is van de volksgezondheid.	False	False	False	False	False	False	False	False	False
NLD100043	Uitgezonderd van deze opdracht zijn hotels, thuisbezorgde maaltijden en catering.	False	False	False	False	False	False	False	False	False
NLD100044	Dat geldt ook voor publieke locaties, zoals musea, concertzalen, theathers en sportwedstrijden.	False	False	False	False	False	False	False	False	False
NLD100045	De locaties kunnen, en moeten waar nodig, wel gebruikt worden voor:	False	False	False	False	False	False	False	False	False
NLD100046	- de organisatie van onderwijs op afstand, waarbij studenten en leerlingen via  een (digitaal) medium onderwijs krijgen in de thuissituatie;	False	False	False	False	False	False	False	False	False
NLD100047	- de (nood)opvang van kinderen van ouders die werken in cruciale beroepen of voor vitale processen, zoals beschreven op www.rijksoverheid.nl. De noodopvang wordt georganiseerd door gemeenten, ondersteund door de Vereniging  Nederlandse Gemeenten;	False	False	False	False	False	False	False	False	False
NLD100048	- de organisatie van toetsing en examens, mits zorgvuldige maatregelen zijn getroffen om het risico van besmetting te beperken.	False	False	False	False	False	False	False	False	False
NLD100049	Als u constateert dat onderwijsinstellingen of aanbieders van kinderopvang of  gastouderopvang zich niet aan deze crisismaatregel houden en er aanhoudend  meer leerlingen, studenten of kinderen aanwezig zijn op een locatie dan nodig is voor de bovengenoemde doelen, geef ik u opdracht op basis van artikel 7 van de Wet publieke gezondheid en met inachtneming van artikel 39, eerste lid, van de Wet veiligheidsregio's, de onderwijsinstelling of het verblijf voor kinderopvang of gastouderopvang te sluiten, bijvoorbeeld met behulp van een noodbevel.	False	False	False	False	False	False	False	False	False
NLD100050	Voor de handhaving kunt u eventueel ook gebruik maken van artikel 47 van de Wet publieke gezondheid.	False	False	False	False	False	False	False	False	False
NLD100051	In de stervensfase of vergelijkbare omstandigheden kan een instelling incidenteel afwijken van deze maatregel.	False	False	False	False	False	False	False	False	False
NLD100052	Ook voor structurele vrijwilligers is een uitzondering mogelijk.	False	False	False	False	False	False	False	False	False
NLD100053	Ik hou er rekening mee dat deze maatregel na 6 april 2020 verlengd zal worden.	False	False	False	False	False	False	False	False	False
NLD100054	Op basis van artikel 7 van de Wet publieke gezondheid en met inachtneming van artikel 39, eerste lid, van de Wet veiligheidsregio's, geef ik u daarom opdracht om uw bevoegdheden op het terrein van openbare orde en veiligheid in te zetten als verpleeghuizen of kleinschalige woonvormen, ondanks nadrukkelijke inspanningen van hun kant, problemen ervaren met het weigeren van bezoekers of derden die de locatie proberen binnen te komen.	False	False	False	False	False	False	False	False	False
NLD100055	U dient uw bevoegdheden op het terrein van openbare orde en veiligheid als bedoeld in artikel 39 van de Wet veiligheidsregio's, waaronder, indien nodig, het opnemen van voorschriften in een noodverordening als bedoeld in artikel 176 van de  Gemeentewet, in te zetten opdat zo spoedig mogelijk na deze aanwijzing de volgende maatregelen worden getroffen:	False	False	False	False	False	False	False	False	False
NLD100056	1. Verbod voor alle vergunningsplichtige en meldplichtige evenementen tot 1 juni  2020.	False	False	False	False	False	False	False	False	False
NLD100057	2. Verbod voor alle overige samenkomsten, waarbij uitzonderingen gelden voor de volgende samenkomsten, mits betrokkenen te allen tijde 1,5 meter afstand houden tot de dichtstbijzijnde persoon:	False	False	False	False	False	False	False	False	False
NLD100058	- wettelijk verplichte samenkomsten, zoals vergaderingen van gemeenteraden, mits daarbij niet meer dan 100 personen aanwezig zijn, alsook vergaderingen van de Staten-Generaal;	False	False	False	False	False	False	False	False	False
NLD100059	- samenkomsten die nodig zijn voor de continuering van de dagelijkse werkzaamheden van instellingen, bedrijven en andere organisaties, mits daarbij niet meer dan 100 personen aanwezig zijn	False	False	False	False	False	False	False	False	False
NLD100060	- uitvaarten en huwelijksvoltrekkingen mits daarbij niet meer dan 30 personen aanwezig zijn;	False	False	False	False	False	False	False	False	False
NLD100061	- uitvaarten en huwelijksvoltrekkingen mits daarbij niet meer dan 30 personen aanwezig zijn;	False	False	False	False	False	False	False	False	False
NLD100062	- samenkomsten van religieuze of levensbeschouwelijke aard, mits daarbij niet meer dan 30 personen aanwezig zijn.	False	False	False	False	False	False	False	False	False
NLD100063	3. Sluiten van casino's, speelhallen en daarmee vergelijkbare instellingen, alsook  sluiten van zaken waarbinnen op de uiterlijke verzorging gerichte contactberoepen worden uitgeoefend, zoals kapperszaken en nagelsalons.	False	False	False	False	False	False	False	False	False
NLD100064	4. Verbod op het uitoefenen van alle vormen van contactberoepen, waaronder masseurs, kappers, nagelstylisten, escortservices en rij-instructeurs, voor zover deze beroepen niet naar behoren met inachtneming van 1,5 meter afstand tot de klant kunnen worden uitgeoefend. Uitgezonderd is de uitoefening van (para)medische beroepen, mits voor deze uitoefening een individuele medische indicatie be staat en daarbij door de beoefenaar alle in verband met COVID-19 benodigde hy giënevereisten in acht worden genomen.	False	False	False	False	False	False	False	False	False
NLD100065	5. Sluiten van winkels en markten, of beëindigen van openbaar vervoer, indien deze voorzieningen zich niet of niet in voldoende mate houden aan de verwezenlijking van de beperkende maatregelen met betrekking tot het houden van 1,5 meter afstand tussen alle in de voorziening aanwezige personen, of aan het op adequate wijze zichtbaar duidelijk maken daarvan.	False	False	False	False	False	False	False	False	False
NLD100066	6. Sluiten van alle vormen van locaties, waaronder vakantieparken, campings, parken, natuurgebieden en stranden, indien op deze locaties niet of niet in vol doende mate de beperkende maatregel met betrekking tot het houden van 1,5 meter afstand tussen daar aanwezige personen in acht wordt genomen of het niet in acht nemen daarvan dreigt.	False	False	False	False	False	False	False	False	False
NLD100067	7. Instellen van een verbod op al dan niet toevallige groepsvorming in (bepaalde delen van) de publieke ruimte.	False	False	False	False	False	False	False	False	False
NLD100068	Onder groepsvorming wordt hierbij verstaan: drie of meer personen die daarbij niet of niet in voldoende mate een onderlinge af stand van 1,5 meter in acht nemen.	False	False	False	False	False	False	False	False	False
NLD100069	Van groepsvorming is geen sprake indien het personen betreft die een gezamenlijk huishouden vormen.	False	False	False	False	False	False	False	False	False
NLD100070	Daarnaast is van groepsvorming geen sprake als het kinderen tot en met 12 jaar betreft die samen spelen onder toezicht van een of meer ouders of voogden die daarbij onderling een afstand van 1,5 meter in acht nemen.	False	False	False	False	False	False	False	False	False
NLD100071	De onder 2 en 3 bedoelde verboden dient u op te nemen in een noodverordening.	False	False	False	False	False	False	False	False	False
NLD100072	Voor de onder 4 tot en met 7 genoemde maatregelen kunt u een voorziening in de noodverordening te treffen, opdat optreden krachtens die verordening mogelijk is indien dat noodzakelijk is.	False	False	False	False	False	False	False	False	False
NLD100073	De onder 2 tot en met 7 bedoelde maatregelen zullen uiterlijk 6 april 2020 worden heroverwogen.	False	False	False	False	False	False	False	False	False
NLD100074	Uiterlijk 28 april zal een heroverweging van de maatregelen plaatsvinden.	False	False	False	False	False	False	False	False	False
NLD100075	De opdracht inzake het verbod voor evenementen blijft, voor alle duidelijkheid, gelden tot 1 juni 2020.	False	False	False	False	False	False	False	False	False
NLD100076	De nieuwe opdracht betreft de periode vanaf 29 april tot en met 19 mei 2020.	False	False	False	False	False	False	False	False	False
NLD100077	De in de voetnoot genoemde aanwijzingen) zijn met ingang van 29 april 2020 niet meer van toepassing.	False	False	False	False	False	False	False	False	False
NLD100078	De opdracht inzake het verbod voor evenementen wordt verlengd tot 1 september 2020.	False	False	False	False	False	False	False	False	False
NLD100079	Naast deze aanwijzing heb ik op 17 april voor vijf veiligheidsregio's met een luchthaven een afzonderlijke aanwijzing gegeven.	False	False	False	False	False	False	False	False	False
