id	text	event1	event2	event3	event4	event5	event6	event7	event8
NLD100001	I order you to suspend all events with more than 100 people in your area from March 13 to March 31, 2020.	False	False	False	False	False	False	False	False	False
NLD100002	The Minister of Infrastructure and Water Management, acting in accordance with the Minister for Medical Care and Sport,	False	False	False	False	False	False	False	False	False
NLD100004	In addition to the earlier instruction, I instruct you to also ensure that all food and beverage outlets, sports and fitness clubs, saunas, seks establishments and coffee shops will be closed from March 15, 2020, 6:00 PM.	False	False	False	True	False	False	False	False	False
NLD100005	Furthermore, I order you to extend the ban on the organization of events and meetings with more than 100 people in your region until April 6, 2020.	False	False	False	True	False	False	False	False	False
NLD100006	Having heard the advice of the Outbreak Management Team and the Administrative Coordination Consultation of 12 March 2020, the Ministerial CommitteeCrisis management decided on March 15, 2020 that from March 16, 2020 to April 6, 2020, no educational activities and no care may be provided in educational institutions and accommodation for childcare and childminders, with some exceptions described below.	False	False	False	False	False	False	False	False	False
NLD100008	Having heard the advice of the Outbreak Management Team and the Administrative Coordination Consultation of March 18, 2020 and an advice from Verenso (Association of specialists in geriatric medicine), the Ministerial Crisis Management Committee of March 19, 2020, in the presence of a representativeof the chairpersons of the safety regions, decided that from 20 March 2020 to 6 April 2020, all nursing homes and small-scale housing in elderly care will be preventively closed for visits and for all others that are not necessary for basic care.	False	False	False	False	False	False	False	False	False
NLD100009	Having heard the advice of the Outbreak Management Team and the Administrative Coordination Consultation of March 23, 2020 and after consultation in the Ministerial Crisis Management Committee of March 23, 2020, I give you on the basis of Article 7 of the Public Health Act, in addition to the earlier instructions in front offight the COVID-19 outbreak, command below.	False	False	False	False	False	False	False	False	False
NLD100012	The instruction I have previously given will be extended from April 7 until April 28, 2020.	False	False	False	False	False	False	False	False	False
NLD100014	In this assignment I have processed and adapted the previous instructions that I have provided to all chairpersons of the security region.	False	False	False	False	False	False	False	False	False
NLD100015	Outdoor sports and exercise	False	False	False	False	False	False	False	False	False
NLD100016	On April 24 and May 8, I instructed you to use your powers in the field of public health and public order and safety totake various measures necessary to combat COVID 19.	False	False	False	False	False	False	False	False	False
NLD100017	Public transport	False	False	False	False	False	False	False	False	False
NLD100018	Secondary education	False	False	False	False	False	False	False	False	False
NLD100019	Primary education	False	False	False	False	False	False	False	False	False
