id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	Voorwaarde hiervoor is dat de instellingen zorgvuldige maatregelen nemen om het risico op besmetting te beperken waaronder het houden van 1,5 meter afstand tussen alle in deze instellingen aanwezige personen en dat van studenten wordt gevraagd het openbaar vervoer zoveel mogelijk te mijden.	False	False	False	False	False	False	False	False
1	Uiterlijk in de week van 12 mei 2020 zal een heroverweging plaatsvinden van de maatregelen die gelden tot en met 19 mei.	False	False	False	False	False	False	False	False
2	III. Bepalingen voor onderwijsinstellingen en verblijven voor kinderopvang, buitenschoolse opvang en gastouderopvang	False	False	False	True	False	False	False	False
3	Onder groepsvorming wordt hierbij verstaan: drie of meer personen die daarbij niet of niet in voldoende mate een onderlinge af stand van 1,5 meter in acht nemen.	False	False	False	True	False	False	False	False
4	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:b. China;	False	False	False	True	False	False	False	False
5	Voortgezet onderwijs	False	False	False	True	False	False	False	False
6	Het toestaan van de uitoefening van contactberoepen betekent dat ook de inrichtingen waar de op de uiterlijke verzorging gerichte contactberoepen worden uitgeoefend weer volledig openge steld en benut kunnen worden.	False	False	False	True	False	False	False	False
7	De voorzitter van de veiligheidsregio draagt er zorg voor dat gemeenten een gebiedsaanpak opstellen voor horeca concentratiegebieden ter voorkoming van grote drukte en toestroom in deze gebieden.	False	False	False	False	False	False	False	False
8	De exploitant of beheerder is primair verantwoordelijk voor de naleving van de 1,5 meter en de overige voorschriften als ook de controle daarop.	False	False	False	False	False	False	False	False
9	In afwijking van deel II, onderdeel 1 van de aanwijzing van 24 april 2020 mogen  eet- en drinkgelegenheden, met inbegrip van terrassen per 1 juni vanaf 12.00 uur onder voorwaarden weer open voor gasten.	False	False	False	True	False	False	False	False
10	- de (nood)opvang van kinderen van ouders die werken in cruciale beroepen of voor vitale processen, zoals beschreven op www.rijksoverheid.nl. De noodopvang wordt georganiseerd door gemeenten, ondersteund door de Vereniging  Nederlandse Gemeenten;	False	False	False	False	False	False	False	False
11	Basisonderwijs	False	False	False	False	False	False	False	False
12	De beheerders van de zwemgelegenheden zijn ervoor verantwoordelijk dat de maatregel om 1,5 meter afstand te houden goed wordt nageleefd in en om de zwemgelegenheden.	False	False	False	False	False	False	False	False
13	Ik geef u opdracht om alle evenementen met meer dan 100 personen in uw regio in de periode van 13 maart tot en met 31 maart 2020 af te gelasten.	False	False	False	True	False	False	False	False
14	Dit verbod geldt niet indien het personen betreft	False	False	False	False	False	False	False	False
15	2 Het verbod, bedoeld in het eerste lid, geldt voor het luchtverkeer afkomstig uit de volgende landen die een hoog-risico vormen bij de verspreiding van het virus dat COVID-19 veroorzaakt:	False	False	False	True	False	False	False	False
16	II. Bepalingen voor bedrijven en locaties, contactberoepen en voorzieningen voor openbaar vervoer	False	False	False	True	False	False	False	False
17	Musea, presentatie-instellingen en monumenten.	False	False	False	False	False	False	False	False
18	C Waar dat redelijkerwijs nodig is, mogen kwetsbare jongeren (13-18) onderling en kwetsbare jongeren met jeugdprofessionals afwijken van de 1,5 meter maatregel in de jeugdhulp.	False	False	True	False	False	False	False	False
19	- samenkomsten die nodig zijn voor de continuering van de dagelijkse werkzaamheden van instellingen, bedrijven en andere organisaties, mits daarbij niet meer dan 100 personen aanwezig zijn	False	False	False	False	False	False	False	False
20	Vanaf 8 juni wordt, het basisonderwijs volledig hervat, tenzij hiervoor blijkt dat dit i.v.m. de verspreiding van het virus niet verantwoord is.	False	False	False	True	False	False	False	False
