id	text	event1	event2	event3	event4	event5	event6	event7	event8	event9
NOR101285	Extension of border control at the internal Schengen border	False	False	False	False	False	False	True	False	False
NOR101286	Norway has extended the reintroduction of border control at the internal Schengen border due to the infection situation.	False	False	False	False	False	False	True	False	False
NOR101287	Border control has been extended at the air, sea and land borders.	False	False	False	False	False	False	True	False	False
NOR101288	The extension is currently valid for 20 days from 26 March at 08.00.	False	False	False	False	False	False	False	False	False
NOR101289	Opportunity for greater flexibility in working hours	False	False	False	True	False	False	False	False	False
NOR101290	In order for government employees to be able to perform important functions also during the corona crisis, the state and the four main associations have agreed to change the framework for working hours	False	False	False	True	False	False	False	False	True
NOR101291	Laws and agreements are made for a normal situation, not such a situation we are in now, says Nikolai Astrup, Minister of Local Government and Modernization.	False	False	False	False	False	False	False	False	False
NOR101292	Normally, all government employees must have a core time from 09.00 to 14.30. Today, the parties have, among other things, agreed that this core period will be postponed for a period.	False	False	False	True	False	False	False	False	False
NOR101293	 Mange ansatte i staten er hjemme med barn hele eller deler av dagen, og noen drar tidligere eller senere på jobb enn vanlig.	False	False	False	False	False	False	False	False	False
NOR101294	Then the employees must have flexibility that allows them to work to a greater extent when they have the opportunity to do so, says Astrup.	False	False	False	True	False	False	False	False	False
NOR101297	The central parties in the state emphasize that even in such a situation it is important to have open and good processes in the companies so that the local parties can find good solutions that meet the employer's need to fulfill their social mission and the employee's need for predictability and adequate protection , they write further.	False	False	False	True	False	False	False	False	False
NOR101300	Both the law and the agreements facilitate that employers and shop stewards can find good solutions locally. We especially encourage this until now, the parties write.	False	False	False	True	False	False	False	False	False
NOR101301	They also agree on special frameworks for working hours in companies that have so-called socially critical functions.	False	False	False	True	False	False	False	False	False
NOR101302	For these companies, it is opened, among other things, that the rest period can be reduced from 11 to 8 hours and that the employer has the opportunity to impose overtime of up to 400 hours in 2020.	False	False	False	True	False	False	False	False	False
NOR101303	Corona act	True	False	False	False	False	False	False	False	False
NOR101304	Temporary law on regulatory authority to remedy the consequences of outbreaks of Covid-19 etc. (Corona Act)	True	False	False	False	False	False	False	False	False
NOR101305	The Corona Act was a temporary law that was repealed on 27 May 2020.	True	False	False	False	False	False	False	False	False
NOR101306	It was intended to facilitate justifiable, effective and proportionate measures necessary to limit the disruption of key societal functions resulting from the outbreak of Covid-19, and to remedy negative consequences for the population, business, the public sector or society at large.	True	False	False	False	False	False	False	False	False
NOR101307	Discourages travel that is not strictly necessary to all countries	False	False	False	True	False	False	False	False	False
NOR101308	Press release | Date: 14.03.2020	False	False	False	False	False	False	False	True	False
NOR101309	The Ministry of Foreign Affairs advises against travel that is not strictly necessary to all countries.	False	False	False	True	False	False	False	False	False
NOR101310	The reason is the increase in the spread of the coronavirus internationally and the unpredictable and difficult situation for many travelers.	False	False	False	False	False	False	False	False	False
NOR101311	The travel advice is initially valid until 14 April.	False	False	False	True	False	False	False	False	False
NOR101312	We are in a serious and increasingly unpredictable situation. Our priority is to take care of life and health. It requires extraordinary action.	False	False	False	False	False	False	False	False	False
NOR101313	The situation is changing rapidly in many countries and therefore we advise against travel that is not strictly necessary to all countries, says Prime Minister Erna Solberg.	False	False	False	True	False	False	False	False	False
NOR101316	Ministry of Foreign Affairs encourages all Norwegian citizens traveling abroad to consider returning home as soon as possible, in a safe and calm manner, in consultation with their travel or airline.	False	False	False	True	True	False	False	False	False
NOR101322	Updated travel information for all countries is available at regjeringen.no/reiseinformasjon.	False	False	False	True	False	False	False	True	False
NOR101323	In countries and regions where the Ministry of Foreign Affairs already advises against travel, the existing travel council applies	False	False	False	True	False	False	False	False	False
NOR101324	Internal border control is continued	False	False	False	False	False	False	True	False	False
NOR101325	On 16 March, Norway reintroduced internal border controls as a measure to limit the spread of Covid-19. It has been decided that the measures will be continued for 20 new days from and including 15 April at 08.00.	False	False	False	False	False	False	True	False	False
NOR101326	Government plan and adjustment of corona measures	False	False	False	False	False	False	False	False	False
NOR101327	The government today presented the plan for further handling of covid-19 and a timetable for reducing the most intrusive measures.	False	False	False	False	False	False	False	False	False
NOR101328	During the next week, all primary and secondary schools will be open to all levels.	False	False	False	True	False	False	False	False	False
NOR101329	Thanks to our joint efforts since March, we have got the spread of infection under control. Therefore, over time, we can ease the strict measures.	False	False	False	False	False	False	False	False	False
NOR101330	The goal is that as many activities and businesses that have been closed as possible can open before the summer.	False	False	False	True	False	False	False	False	False
NOR101334	The companies and activities must operate in a professionally sound manner when they reopen.	False	False	False	True	False	False	False	False	False
NOR101337	When we now dissolve the measures, it presupposes that we retain control of the infection, with increased testing, isolation, infection tracing and quarantine, says Høie.	False	True	True	False	False	False	False	False	False
NOR101338	He emphasizes that we must continue with the simple measures that we know work and that have few negative consequences: be careful with hand washing and cough hygiene, keep at least one meter away and be at home when we are sick.	False	False	True	False	False	False	False	False	False
NOR101339	There are many kids who stand and trip to meet friends and teachers again. Next week, they will finally be allowed to return to school.	False	False	False	True	False	False	False	False	False
NOR101340	There will be more outdoor school and less squeezing. But as far as possible, the students should get back to the most normal school day possible, says Minister of Education and Integration Guri Melby.	False	False	False	True	False	False	False	False	False
NOR101346	The recommended size of groups in private contexts is increased from five to a maximum of 20 people, provided that you can keep at least one meter distance.	False	True	True	False	False	False	False	False	False
NOR101347	This also means that training and other organized sports activities can be carried out for up to 20 people who keep at least one meter distance.	False	False	True	False	False	False	False	False	False
NOR101349	Sports halls can open. The use of changing rooms in sports halls is prohibited.	False	False	True	False	False	False	False	False	False
NOR101350	Events with up to 50 participants are allowed in a public place, where participants can keep at least one meter distance from each other and where there is a responsible organizer.	False	False	False	True	False	False	False	False	False
NOR101351	This applies to all types of events, including sporting events such as conventions, cups and matches.	False	False	False	True	False	False	False	False	False
NOR101353	The ban on travel abroad for health personnel is lifted	False	False	False	True	False	False	False	False	False
NOR101354	Travel abroad is still discouraged.	False	False	False	True	False	False	False	False	False
NOR101355	People who have been abroad must be quarantined when returning home.	False	True	True	False	False	False	False	False	False
NOR101357	The quarantine obligation changes from 14 to 10 days	False	True	True	False	False	False	False	False	False
NOR101358	People who have had close contact for up to 48 hours before a confirmed infected person got the first symptoms, will be quarantined.	False	False	True	False	False	False	False	False	False
NOR101359	You must still be quarantined if you have been in contact with infected people with a distance of less than two meters for more than 15 minutes.	False	False	True	False	False	False	False	False	False
NOR101360	Exemptions from the quarantine obligation are granted for six months for persons who have undergone infection with SARS-CoV-2.	False	False	True	False	False	False	False	False	False
NOR101361	Employers should ensure that employees can maintain a distance of at least one meter throughout working hours.	False	False	True	False	False	False	False	False	False
NOR101362	In areas of the country where employees are dependent on the use of public transport, employers are encouraged to facilitate home office and electronic meeting activities as much as possible, with a physical presence	False	False	False	True	False	False	False	False	False
NOR101363	Korona guide for public transport	False	False	False	True	False	False	False	False	False
