id	text	event1	event2	event3	event4	event5	event6	event7	event8	event9
NOR101285	Forlenger grensekontroll på indre Schengen-grense	False	False	False	False	False	False	True	False	False
NOR101286	Norge har forlenget gjeninnføringen av grensekontroll på indre Schengen-grense på grunn av smittesituasjonen.	False	False	False	False	False	False	True	False	False
NOR101287	Grensekontrollen er forlenget på luft-, sjø- og landegrensen.	False	False	False	False	False	False	True	False	False
NOR101288	Forlengelsen gjelder foreløpig for 20 dager fra og med 26. mars kl. 08.00.	False	False	False	False	False	False	False	False	False
NOR101289	Mulighet for større fleksibilitet i arbeidstid	False	False	False	True	False	False	False	False	False
NOR101290	For at statsansatte skal kunne ivareta viktige funksjoner også under koronakrisen, har staten og de fire hovedsammenslutningene blitt enige om å endre rammene for arbeidstid.	False	False	False	True	False	False	False	False	True
NOR101291	Lov og avtaleverk er laget for en normalsituasjon, ikke en slik situasjon vi står oppe i nå, sier Nikolai Astrup, kommunal- og moderniseringsminister.	False	False	False	False	False	False	False	False	False
NOR101292	Normalt skal alle statsansatte ha en kjernetid fra klokken 09.00 til klokken 14.30. I dag har partene blant annet blitt enige om at denne kjernetiden settes ut av kraft for en periode.	False	False	False	True	False	False	False	False	False
NOR101293	Many employees in the state are at home with children all or part of the day, and some go to work earlier or later than usual.	False	False	False	False	False	False	False	False	False
NOR101294	Da må de ansatte ha fleksibilitet som gjør at de i større grad kan jobbe når de har mulighet til det, sier Astrup.	False	False	False	True	False	False	False	False	False
NOR101295	Situasjonen rundt koronaviruset setter Norge på en stor prøve som samfunn, heter det i avtalen mellom staten, LO stat, Akademikerne, Unio og YS.	False	False	False	False	False	False	False	False	False
NOR101296	Det er også en krevende situasjon for arbeidslivet.	False	False	False	False	False	False	False	False	False
NOR101297	De sentrale partene i staten understreker at det også i en slik situasjon er viktig å ha åpne og gode prosesser i virksomhetene slik at de lokale partene kan finne frem til gode løsninger som ivaretar arbeidsgivers behov for å oppfylle sitt samfunnsoppdrag og arbeidstakers behov for forutsigbarhet og tilstrekkelig vern, skriver de videre.	False	False	False	True	False	False	False	False	False
NOR101298	Jeg er glad for velvillighet og den konstruktive innstillingen partene har i denne situasjonen	False	False	False	False	False	False	False	False	False
