ID,DOCDATE,DOCID,SENID,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
1,01-Mar-20,BEL10002,BEL100001,,BEL,0,,,,Directives pour la préparation à l'émergence d'une pandémie (coronavirus COVID-19) pour le personnel des services de la fonction publique administrative fédérale telle que définie à l'article 1er de la loi du 22 juillet 1993 portant certaines mesures en matière de fonction publique.,Directives pour la préparation à l'émergence d'une pandémie (coronavirus COVID-19) pour le personnel des services de la fonction publique administrative fédérale telle que définie à l'article 1er de la loi du 22 juillet 1993 portant certaines mesures en matière de fonction publique.,Directives for the preparation for the emergence of a pandemic (coronavirus COVID-19) for the staff of the federal administrative public service as defined in article 1 of the law of 22 July 1993 laying down certain measures in terms of public service.,,,,,0,,,0,,,,1,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
2,01-Mar-20,BEL10002,BEL100002,,BEL,0,,,,,Je souhaiterais rappeler aux différents services les directives relatives au coronavirus COVID-19 que vous pouvez retrouver sur www.info-coronavirus.be et sur www.sciensano.be.,I would like to remind the various services of the directives relating to the COVID-19 coronavirus that you can find on www.info-coronavirus.be and on www.sciensano.be.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,1,,,,,
3,01-Mar-20,BEL10002,BEL100003,,BEL,0,,,,,"Aussi longtemps que vous n'êtes pas malade, vous devez aller travailler comme d'habitude ou, si votre employeur dispose d'un régime en matière de télétravail, vous pouvez demander à votre hiérarchie à en bénéficier dans le respect des règles en vigueur.","As long as you are not sick, you must go to work as usual or, if your employer has a teleworking scheme, you can ask your superiors to benefit from it in accordance with the rules in force.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
4,01-Mar-20,BEL10002,BEL100004,,BEL,0,,,,," Vous êtes au travail et vous vous sentez grippé ?
Avertissez le plus rapidement possible votre chef de service qui vous autorisera à quitter votre travail pour rentrer chez vous ou recevoir des soins médicaux.","Are you at work and you have the flu?
Notify your manager as soon as possible, who will allow you to leave your job to go home or receive medical care.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,100,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
5,01-Mar-20,BEL10002,BEL100005,,BEL,0,,,,,Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be.,Observe all the practical hygiene advice which can be found on www.info-coronavirus.be and on www.sciensano.be.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,1,100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,1,,,,,
6,01-Mar-20,BEL10002,BEL100006,,BEL,0,,,,,Respectez tous les conseils pratiques d'hygiène qui se trouvent sur www.info-coronavirus.be et sur www.sciensano.be.,Observe all the practical hygiene advice which can be found on www.info-coronavirus.be and on www.sciensano.be.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,1,100,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,1,,,,,
7,01-Mar-20,BEL10002,BEL100007,,BEL,0,,,,,"Il en va de même lorsqu'après votre rapatriement en Belgique, vous êtes placé en quarantaine.","The same applies when, after your repatriation to Belgium, you are placed in quarantine.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,1,,,100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,100,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
8,01-Mar-20,BEL10002,BEL100008,,BEL,0,,,,,"Si vous êtes malade et si vous êtes allé récemment en Chine ou dans un autre pays ayant un grand nombre de cas avérés de contamination au Covid-19, ou si une personne de votre entourage proche est malade et est allée en Chine ou dans un pays précité, appelez votre médecin-traitant en signalant votre voyage et vos symptômes.","If you are sick and have recently been to China or another country with a high number of proven cases of Covid-19 contamination, or if someone close to you is sick and has been to China or a country above, call your GP reporting your trip and symptoms.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,100,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
9,13-Mar-20,BEL10006,BEL100009,,BEL,0,,,,"Le Ministre de la Sécurité et de l'Intérieur, Vu l'arrêté royal du 31 janvier 2003 portant fixation du plan d'urgence pour les événements et situations de crise nécessitant une coordination ou une gestion à l'échelon national","Le Ministre de la Sécurité et de l'Intérieur, Vu l'arrêté royal du 31 janvier 2003 portant fixation du plan d'urgence pour les événements et situations de crise nécessitant une coordination ou une gestion à l'échelon national","The Minister of Security and the Interior, Considering the Royal Decree of January 31, 2003 establishing the emergency plan for events and crisis situations requiring coordination or management at the national level",,,,,0,,,0,,,,1,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
10,13-Mar-20,BEL10006,BEL100010,,BEL,0,,,,,Article 1er. La phase fédérale du plan d'urgence national est déclenchée.,Article 1. The federal phase of the national emergency plan is launched.,,,,,0,,,0,,,,1,100,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
