ID,DOCID,SENID,DOCDATE,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
1,FRA10016,FRA100001,23-Mar-20,France,FRA,0,,,,,"Jusqu'au 31 mars 2020, tout déplacement de personne hors de son domicile est interdit à l'exception des déplacements pour les motifs suivants en évitant tout regroupement de personnes :",,,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,TRUE,100,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
2,FRA10002,FRA100002,30-Jan-20,France,FRA,0,Provence-Alpes-Côte d'Azur,22018,,Arrêté,Un centre d'hébergement destiné à maintenir en quarantaine les personnes ayant résidé à Wuhan (Chine) et arrivant sur le territoire français est ouvert dans le département des Bouches-du-Rhône.,,opening of quanrantines centers in Bouches-du-Rhône,3,1,9,FALSE,people having resided in Wuhan (China) and arriving on the French territory,,0,,,,FALSE,,,,,,,,,,,,,TRUE,1,,,,,,,,TRUE,,,1,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
3,FRA10002,FRA100003,30-Jan-20,France,FRA,0,Provence-Alpes-Côte d'Azur,22018,,Arrêté,La mise en quarantaine des personnes mentionnées à l'article 1er est prononcée par le préfet après avis du directeur général de l'agence régionale de santé.,,,7,1,9,FALSE,people having resided in Wuhan (China) and arriving on the French territory,,0,,,,FALSE,,,,,,,,-1,,,,108: the prefects can announce the quarantine of persons,TRUE,1,,,,,,,,TRUE,,,1,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
4,FRA10004,FRA100004,20-Feb-20,France,FRA,0,Normandie,22014,,Arrêté,Des centres d'hébergement destinés à maintenir en quarantaine les personnes ayant résidé à Wuhan (Chine) et arrivant sur le territoire français sont ouverts dans le département du Calvados.,,opening of quarantine centers in Calvados,3,1,9,FALSE,people having resided in Wuhan (China) and arriving on the French territory,,0,,,,FALSE,,,,,,,,,,,,,TRUE,1,,,,,,,,TRUE,,,1,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
5,FRA10004,FRA100005,20-Feb-20,France,FRA,0,Normandie,22014,,Arrêté,La mise en quarantaine des personnes mentionnées à l'article 1er est prononcée par arrêté conjoint du préfet de police de Paris et du préfet du Calvados après avis des directeurs généraux des agences régionales de santé d'Ile-de-France et de Normandie.,,,3,1,9,FALSE,people having resided in Wuhan (China) and arriving on the French territory,,0,,,,FALSE,,,,,,,,-1,,,,108: the prefects can announce the quarantine of persons,TRUE,1,,,,,,,,TRUE,,,1,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
6,FRA10006,FRA100006,04-Mar-20,France,FRA,0,,,,Arrêté,Tout rassemblement mettant en présence de manière simultanée plus de 5 000 personnes en milieu clos est interdit sur le territoire national jusqu'au 31 mai 2020.,,,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,1,,,,TRUE,,,,,,1,,,,,,,TRUE,,,1,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
7,FRA10006,FRA100007,04-Mar-20,France,FRA,0,,,,,L'arrêté du 30 janvier 2020 relatif à la situation des personnes ayant séjourné dans une zone atteinte par l'épidémie de virus 2019-nCov est abrogé.,,Repeal of the quarantine of people coming from Wuhan,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,-1,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
8,FRA10007,FRA100008,06-Mar-20,France,FRA,0,,,,Arrêté du 6 mars 2020 portant diverses mesures relatives à la lutte contre la propagation du virus covid-19,"Eu égard à la situation sanitaire et jusqu'au 31 mai 2020, les solutions hydro-alcooliques destinées à l'hygiène humaine peuvent être préparées, en cas de rupture de leur approvisionnement, par les pharmacies d'officine et les pharmacies à usage intérieur mentionnées aux articles L. 5125-1 et L.5126-1 du code de la santé publique.",,,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
9,FRA10007,FRA100009,06-Mar-20,France,FRA,0,,,,Arrêté,Au premier alinéa de l'article 1er de l'arrêté du 4 mars 2020 susvisé la date : « 31 mai 2020 » est remplacée par la date : « 15 avril 2020 ».,,extension in time of the ban on gatherings of more than 5000 people,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,1,,,,TRUE,,,,,,1,,,,,,,TRUE,,,1,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
10,FRA10008,FRA100010,09-Mar-20,France,FRA,0,,,,Arrêté du 9 mars 2020 portant diverses mesures relatives à la lutte contre la propagation du virus covid-19,"Afin de prévenir la propagation du virus covid-19, tout rassemblement mettant en présence de manière simultanée plus de 1 000 personnes est interdit sur le territoire national jusqu'au 15 avril 2020.",,,3,1,9,FALSE,,,0,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,1,,,,TRUE,,,,,,1,,,,,,,TRUE,,,1,,,,,,,,,,,,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,FALSE,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,,,,FALSE,,FALSE,,,,,,FALSE,,,,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,
