ID,DOCDATE,DOCID,SENID,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
353,30-Jan-20,ITA10002,ITA100353,,ITA,0,,,,,"Al fine di garantire un adeguato livello di protezione sanitaria e' interdetto il traffico aereo dalla Cina, quale Paese  comprendente aree in cui si e' verificata una trasmissione autoctona sostenuta del nuovo Coronavirus (2019 - nCoV).","In order to ensure an adequate level of health protection air traffic is banned from China, as a country including areas where a sustained autochthonous transmission of the new new Coronavirus (2019 - nCoV) has occurred.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,100,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
354,05-Feb-20,ITA10005,ITA100354,,ITA,0,,,,,"Istituzione del Comitato tecnico–scientifico di cui all’articolo 2, comma 1, dell’ordinanza del Capo del Dipartimento della protezione civile n. 630 del 3 febbraio 2020","Establishment of the Technical and Scientific Committee referred to in Article 2, paragraph 1, of the Order of the Head of the Department of Civil Protection No 630 of 3 February 2020",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,0,,,100,,
355,,ITA10005,ITA100355,,ITA,0,,,,,"Il Comitato definisce, alla prima convocazione, i criteri e le modalità per l’organizzazione e lo svolgimento delle proprie attività. Le convocazioni sono disposte dal Coordinatore di cui al comma 1, anche su richiesta del Capo del Dipartimento della protezione civile.","The Committee defines, at its first convocation, the criteria and the modalities for the organization and the carrying out of its activities. The convocations are arranged by the Coordinator referred to in paragraph 1, also at the request of the Head of the Department of Civil Protection.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,0,,,100,,
356,,ITA10005,ITA100356,,ITA,0,,,,, Il Comitato svolge funzioni di consulenza al Capo del Dipartimento della protezione civile in merito all’adozione delle più opportune misure di prevenzione necessarie a fronteggiare la diffusione delle patologie derivanti da agenti virali trasmissibili.,The Committee shall advise the Head of the Department of Civil Protection on the adoption of the most suitable prevention measures necessary to cope with the spread of pathologies deriving from transmissible viral agents.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,0,,,100,,
357,,ITA10005,ITA100357,,ITA,0,,,,, I componenti del Comitato operano nell’ambito dei doveri d’ufficio.,The members of the Committee operate within the scope of their official duties.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,0,,,100,,
358,,ITA10005,ITA100358,,ITA,0,,,,,Il Comitato è integrato dal Direttore dell’Ufficio V della Direzione generale della prevenzione sanitaria del Ministero della salute e dal Coordinatore del Servizio risorse sanitarie dell’Ufficio I del Dipartimento della protezione civile in qualità di segretario del Comitato., The Committee is integrated by the Director of Office V of the General Directorate for Health Prevention of the Ministry of Health and by the Coordinator of the Health Resources Service of Office I of the Department of Civil Protection as secretary of the Committee.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,1,0,0,,,100,,
359,12-Feb-20,ITA10008,ITA100359,,ITA,0,,,,,"Il Ministero dell’istruzione, anche in deroga all’articolo 4, commi 1 e 2 e all’articolo 14, comma 7, del decreto del Presidente della Repubblica 22 giugno 2009, n. 122, adotta i necessari provvedimenti al fine di assicurare la validità dell’anno scolastico 2019/2020 degli studenti di ogni ordine e grado, che, di ritorno dalle aree a rischio di contagio da agenti virali trasmissibili di cui all’emergenza in rassegna, siano sottoposti a misure di sorveglianza da parte del Dipartimento di prevenzione dell’azienda sanitaria locale di riferimento, ovvero si sottopongano autonomamente ad una quarantena volontaria nel proprio domicilio.","The Ministry of Education, also by way of derogation from Article 4, paragraphs 1 and 2 and Article 14, paragraph 7, of Presidential Decree No. 122 of June 22, 2009, adopts the necessary measures to ensure the validity of the 2019/2020 school year of students of all levels, who, returning from areas at risk of infection by viral transmissible agents referred to in the emergency in review, are subject to surveillance measures by the Department of Prevention of the local health reference, or submit themselves independently to a voluntary quarantine in their own homes.",,,,,0,,,0,,,,0,,,,,,,,,,,,,1,100,,,,,,100,,1,,,100,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
360,21-Feb-20,ITA10012,ITA100360,,ITA,0,,,,,Ocdpc n. 637 del 21 febbraio 2020. Ulteriori interventi urgenti di protezione civile in relazione all’emergenza relativa al rischio sanitario connesso all’insorgenza di patologie derivanti da agenti virali trasmissibili.,"Ocdpc n. 637 of February 21, 2020. Further urgent interventions of civil protection in relation to the emergency related to the health risk associated with the onset of diseases resulting from viral transmissible agents.",,,,,0,,,0,,,,1,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
361,,ITA10012,ITA100361,,ITA,0,,,,,Articolo 1 (Ulteriori attribuzioni al Soggetto attuatore del Ministero della salute),Article 1 (Additional powers to the Implementing Party of the Ministry of Health).,,,,,0,,,0,,,,1,100,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
362,,ITA10012,ITA100362,,ITA,0,,,,,"Il Soggetto attuatore del Ministero della salute, nominato con decreto del Capo del Dipartimento della protezione civile rep. n. 414 del 7 febbraio 2020, nell’ambito dei poteri di cui all’articolo 4 del decreto legislativo 2 gennaio 2018, n. 1, ai fini del superamento del contesto emergenziale indicato in premessa, è autorizzato a stipulare convenzioni o accordi con gli enti vigilati del Ministero della salute, nonché ad assicurare ogni iniziativa di comunicazione, informazione e formazione ritenuta necessaria.","The Implementing Subject of the Ministry of Health, appointed by decree of the Head of the Department of Civil Protection rep. no. 414 of February 7, 2020, within the scope of the powers under Article 4 of Legislative Decree no. 1 of January 2, 2018, for the purposes of overcoming the emergency context indicated in the introduction, is authorized to enter into conventions or agreements with the supervised entities of the Ministry of Health, as well as to ensure any communication, information and training initiatives deemed necessary.",,,,,0,,,0,,,,1,100,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
