ID,DOCID,SENID,DOCDATE,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
1,MLT10004,MLT100001,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika","Il-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali flimkien mas-Segretarjat Parlamentari għall-Anzjanità Attiva u l-Persuni b’Diżabilità jixtiequ javżaw li b’rabta mal-miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika qed jittieħdu l-passi preventivi kollha sabiex tiġi assigurata s-sigurtà għar-residenti fid-djar tal-anzjani.","The Ministry for the Family, Children's Rights and Social Solidarity together with the Parliamentary Secretariat for Active Aging and Persons with Disabilities would like to announce that in connection with the measures already issued by the Department of Public Health they are being taken. all preventive steps to ensure safety for residents in nursing homes.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
2,MLT10004,MLT100002,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika","Huwa ferm importanti li kull min iħossu ma jiflaħx jew għadu kif vjaġġa fil-pajjiżi indikati mid-Dipartiment tas-Saħħa Pubblika, dan m’għandux iżur il-qraba li jinsabu f’dawn ir-residenzi.","It is very important that anyone who feels unwell or has just traveled to the countries indicated by the Department of Public Health, should not visit relatives who are in these residences.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
3,MLT10004,MLT100003,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika",Kull persuna li żżur dar tal-anzjani għandha wkoll taħsel idejha meta tidħol u anki qabel ma toħroġ.,Every person visiting a nursing home should also wash their hands when entering and even before leaving.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
4,MLT10004,MLT100004,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika",L-Anzjanità Attiva u Kura fil-Komunità tixtieq tavża li qed tara li f’kull dar residenzjali jkun hemm hand rub disponibbli f’kull entratura.,Active Aging and Community Care would like to announce that you are seeing a hand rub at every entrance in every residential home.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
5,MLT10004,MLT100005,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika","Barra minn hekk, il-ħinijiet taż-żjarat se jkunu restritti biss għal waranofinshar u għal filgħaxija u l-viżitaturi għandhom ikunu limitati għal massimu ta’ tnejn ħdejn kull resident.","In addition, visiting hours will be restricted to late afternoon and evening and visitors should be limited to a maximum of two near each resident.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,100,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
6,MLT10004,MLT100006,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika",Dan japplika wkoll għar-residenza ta’ San Vinċenz De Paul.,This also applies to the residence of St. Vincent De Paul.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
7,MLT10004,MLT100007,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika",Barra minn hekk fir-residenza ta’ San Vinċenz De Paul inbdiet sistema ta’ monitoraġġ għal dawk kollha li jidħlu f’din ir-residenza.,"In addition, a monitoring system has been set up at the San Vincenzo De Paul residence for all those who enter this residence.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
8,MLT10003,MLT100008,3/9/2020,Malta,MLT,0,,,,"Stqarrija mill-Ministeru għall-Familja, Drittijiet tat-Tfal u Solidarjetà Soċjali: Miżuri diġà maħruġa mid-Dipartiment tas-Saħħa Pubblika",Qed jiġi wkoll avżat li l-appuntamenti għas-servizzi tal-outpatients f’din ir-residenza se jiġu skedati għal dati oħra.​,It is also advised that appointments for outpatient services at this residence will be scheduled for other dates.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
9,MLT10007,MLT100009,3/12/2020,Malta,MLT,0,,,,L.N. 39 of 2020,"IN EXERCISE of the powers conferred by article 26 of thePublic Health Act, hereinafter referred to as ""the Act"", the Ministerresponsible for public health, in consultation with the Superintendentof Public Health, has made the following regulations:",,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
10,MLT10007,MLT100010,3/12/2020,Malta,MLT,0,,,,L.N. 39 of 2020,"1.The  title  of  these  regulations  is  the  Enforcement  ofDirections relating to Quarantine Regulations, 2020.",,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
