ID,DOCDATE,DOCID,SENID,COUNTRYNAME,COUNTRYACR,COUNTRYCODE,REGION,REGION CODE,MUNICIPALITY,IDARTICLE,LEGAL_TEXT_OR,LEGAL TEXT_EN,COMMENT,AUTHORITY,COVERAGE,LEGALFORM,VERIFLEGAL,TARGETEDGROUPS,CONSTRAINTS,ANNOUNCE,TOTALNBFINES,TOTALNBJAIL,TOTALNBRARRTESTS,TYPEVENT1,SUBTYPEVENT101,SUBTYPEVENT102,SUBTYPEVENT103,SUBTYPEVENT104,SUBTYPEVENT105,SUBTYPEVENT106,SUBTYPEVENT107,SUBTYPEVENT108,SUBTYPEVENT109,SUBTYPEVENT110,SUBTYPEVENT111,COMMENT1,TYPEVENT2,SUBTYPEVENT201,SUBTYPEVENT202,SUBTYPEVENT203,SUBTYPEVENT204,SUBTYPEVENT205,SUBTYPEVENT206,SUBTYPEVENT207,COMMENT2,TYPEVENT3,SUBTYPEVENT301,SUBTYPEVENT302,SUBTYPEVENT303,SUBTYPEVENT304,SUBTYPEVENT305,SUBTYPEVENT306,SUBTYPEVENT307,SUBTYPEVENT308,SUBTYPEVENT309,SUBTYPEVENT310,SUBTYPEVENT311,COMMENT3,TYPEVENT4,SUBTYPEVENT401,SUBTYPEVENT421,SUBTYPEVENT402,SUBTYPEVENT403,SUBTYPEVENT404,SUBTYPEVENT405,SUBTYPEVENT406,SUBTYPEVENT407,SUBTYPEVENT427,SUBTYPEVENT408,SUBTYPEVENT409,SUBTYPEVENT410,SUBTYPEVENT411,SUBTYPEVENT412,SUBTYPEVENT413,SUBTYPEVENT414,SUBTYPEVENT415,COMMENT4,TYPEVENT9,SUBTYPEVENT901,SUBTYPEVENT902,SUBTYPEVENT903,SUBTYPEVENT904,SUBTYPEVENT905,COMMENT9,TYPEVENT5,SUBTYPEVENT501,SUBTYPEVENT502,SUBTYPEVENT503,SUBTYPEVENT504,SUBTYPEVENT505,SUBTYPEVENT506,SUBTYPEVENT507,SUBTYPEVENT508,COMMENT5,TYPEVENT6,SUBTYPEVENT601,SUBTYPEVENT602,SUBTYPEVENT603,SUBTYPEVENT604,SUBTYPEVENT605,SUBTYPEVENT606,SUBTYPEVENT607,SUBTYPEVENT608,SUBTYPEVENT609,SUBTYPEVENT610,SUBTYPEVENT611,SUBTYPEVENT612,SUBTYPEVENT613,SUBTYPEVENT614,COMMENT6,TYPEVENT7,SUBTYPEVENT701,SUBTYPEVENT702,SUBTYPEVENT703,SUBTYPEVENT704,SUBTYPEVENT705,SUBTYPEVENT706,SUBTYPEVENT707,SUBTYPEVENT708,SUBTYPEVENT709,SUBTYPEVENT710,SUBTYPEVENT711,COMMENT7,TYPEVENT8,SUBTYPEVENT801,SUBTYPEVENT802,SUBTYPEVENT803,SUBTYPEVENT804,SUBTYPEVENT805,SUBTYPEVENT806,COMMENT8
1285,,NOR10005,NOR101285,,NOR,0,,,,,Forlenger grensekontroll på indre Schengen-grense,Extension of border control at the internal Schengen border,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,100,,0,,,,0,0,,0,0,0,,,,,
1286,,NOR10005,NOR101286,,NOR,0,,,,,Norge har forlenget gjeninnføringen av grensekontroll på indre Schengen-grense på grunn av smittesituasjonen.,Norway has extended the reintroduction of border control at the internal Schengen border due to the infection situation.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,100,,0,,,,0,0,,0,0,0,,,,,
1287,,NOR10005,NOR101287,,NOR,0,,,,,"Grensekontrollen er forlenget på luft-, sjø- og landegrensen.","Border control has been extended at the air, sea and land borders.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,100,,0,,,,0,0,,0,0,0,,,,,
1288,,NOR10005,NOR101288,,NOR,0,,,,,Forlengelsen gjelder foreløpig for 20 dager fra og med 26. mars kl. 08.00.,The extension is currently valid for 20 days from 26 March at 08.00.,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1289,,NOR10006,NOR101289,,NOR,0,,,,,Mulighet for større fleksibilitet i arbeidstid,Opportunity for greater flexibility in working hours,,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,100,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1290,,NOR10006,NOR101290,,NOR,0,,,,,"For at statsansatte skal kunne ivareta viktige funksjoner også under koronakrisen, har staten og de fire hovedsammenslutningene blitt enige om å endre rammene for arbeidstid.","In order for government employees to be able to perform important functions also during the corona crisis, the state and the four main associations have agreed to change the framework for working hours",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,100,,,,,,,,,0,100,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1291,,NOR10006,NOR101291,,NOR,0,,,,,"Lov og avtaleverk er laget for en normalsituasjon, ikke en slik situasjon vi står oppe i nå, sier Nikolai Astrup, kommunal- og moderniseringsminister.","Laws and agreements are made for a normal situation, not such a situation we are in now, says Nikolai Astrup, Minister of Local Government and Modernization.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1292,,NOR10006,NOR101292,,NOR,0,,,,,Normalt skal alle statsansatte ha en kjernetid fra klokken 09.00 til klokken 14.30. I dag har partene blant annet blitt enige om at denne kjernetiden settes ut av kraft for en periode.,"Normally, all government employees must have a core time from 09.00 to 14.30. Today, the parties have, among other things, agreed that this core period will be postponed for a period.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,100,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1293,,NOR10006,NOR101293,,NOR,0,,,,,"Many employees in the state are at home with children all or part of the day, and some go to work earlier or later than usual."," Mange ansatte i staten er hjemme med barn hele eller deler av dagen, og noen drar tidligere eller senere på jobb enn vanlig.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
1294,,NOR10006,NOR101294,,NOR,0,,,,,"Da må de ansatte ha fleksibilitet som gjør at de i større grad kan jobbe når de har mulighet til det, sier Astrup.","Then the employees must have flexibility that allows them to work to a greater extent when they have the opportunity to do so, says Astrup.",,,,,0,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,1,,,,,,,,,,100,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,0,,,,0,0,,0,0,0,,,,,
