id	text	event1	event2	event3	event4	event5	event6	event7	event8
"0"	"hall read as follows: `3) persons diagnosed with a disease caused by SARS virus - CoV-2 (COVID-19) or suspected disease, unless they have been referred by a doctor for treatment or laboratory diagnosis of SARS-CoV-2 virus as part of isolation carried out outside the hospital, including isolation in home conditions. `"	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"False"
"1"	"2) in §3, paragraph 1, point b shall read as follows: `b) item 3, to the indicated hospital and immediately informs the hospital of this fact, unless, after assessing the clinical condition of that person, he / she is referred for SARS virus treatment or laboratory diagnosis - CoV-2 within isolation provided outside the hospital, including isolation in home conditions; ”"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"2"	"REGULATION OF THE MINISTER OF MARITIME ECONOMY AND INLAND NAVIGATION of 23 March 2020 on the temporary limitation of the functioning of maritime universities in the territory of the Republic of Poland due to the prevention of SARS-CoV-2 virus infection"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"3"	"§1.1. In the period from March 26, 2020. until April 10, 2020 in the territory of the country, the functioning of universities supervised by the minister responsible for maritime economy is limited by: 1) suspension of lectures and other didactic classes organized by the Maritime University in Szczecin and Gdynia Maritime University in the territory of the Republic of Poland; in their area, except in cases where it is necessary to ensure the continuity of the functioning of these universities."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"4"	"2) limitation of the obligation to perform work by employees of universities listed in paragraph 1 in their area, except in cases where it is necessary to ensure the continuity of the operation of these universities."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"5"	"Period from March 26, 2020. until April 10, 2020 the university referred to in section 1, which has the infrastructure and software to conduct classes with the use of distance learning methods and techniques, conducts classes using these methods and techniques, regardless of whether it has been provided for in the curriculum of a given education."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"6"	"§3 The university, referred to in section 1, which during the suspension of lectures and other classes conducted classes using distance learning methods and techniques, may continue to conduct classes using these methods and techniques after the end of the suspension period of lectures and other classes, no longer however, than until September 30, 2020."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"7"	"amending the regulation on the temporary reintroduction of border control of persons crossing the state border constituting an internal border"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"8"	"the following changes are made: 1) in §2: a) after section 1, section 1a shall be added with the wording: `1a. Border control of persons, temporarily restored for the period referred to in section 1, shall be extended for the period from 25 March 2020 . until April 13, 2020 `"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"9"	"the following changes are introduced: 1) in §2: b) in section 2 shall read as follows: `2. The scope of control referred to in sections 1 and 1a, including the possibility of limiting it on the terms specified in the Schengen Border Code, will be adjusted to the degree of threat public order or state security in relation to the occurrence of a serious threat to public health caused by the SARS-CoV-2 coronavirus, causing the COVID-19 disease. `"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
