id	text	event1	event2	event3	event4	event5	event6	event7	event8
603	First, we must protect the NHS’s ability to cope. We must be confident that we are able to provide sufficient critical care and specialist treatment right across the UK. The NHS staff have been incredible. We must continue to support them as much as we can.	False	False	False	False	False	False	False	True
759	(6) The powers conferred by this regulation are without prejudice to the power of the Secretary of State under section 71 of the Public Health (Control of Disease) Act 1984.	False	False	False	False	False	False	False	False
779	(4) A direction under paragraph (1) may, among other things, impose requirements about informing persons who may be planning to attend an event of any prohibitions, requirements or restrictions imposed in relation to the holding of it.	False	False	False	True	False	False	False	False
713	(4) Paragraph (3) does not apply to a person described in that paragraph who arrives in England from Scotland, Wales or Northern Ireland and who has completed a form equivalent to a Passenger Locator Form pursuant to an enactment in Scotland, Wales or Northern Ireland, specifying an address in England where that person intends to self-isolate.	False	False	True	False	False	False	False	False
589	(8)The Scottish Ministers must, at the same time as laying the regulations before the Parliament in accordance with paragraph 26 of that schedule, lay before the Parliament a statement of their reasons for making the regulations.	True	False	False	False	False	False	False	False
100	(3) A constable may use reasonable force, if necessary, in the exercise of a power under this regulation.	True	False	False	False	False	False	False	False
435	(4)Subsection (5) applies if, at any time during the relevant period, Article 7(2) of the 2001 Order requires the Chief Electoral Officer for Northern Ireland to set a date as the date of the poll for an Assembly by-election.	True	False	False	False	False	False	False	False
137	Once the results arrive, those who test negative will be advised individually about returning to education.	False	False	False	False	False	False	False	False
260	The UK’s extensive diplomatic network is continuing to work around the world to support British people at the greatest risk of exposure to the virus.	False	False	False	False	False	False	False	False
488	1) During the emergency period, unless paragraph (3) applies, no person may participate in a gathering which—(a)consists of more than thirty persons	False	False	False	True	False	False	False	False
784	(9) A person on whom a direction under paragraph (1) imposes a prohibition, requirement or restriction may—(a)appeal against the direction to a magistrates’ court by way of complaint for an order and the Magistrates’ Courts Act 1980 applies to the proceedings, and(b)make representations to the Secretary of State about the direction.	False	False	False	True	False	False	False	True
238	And if you ask, why are we doing this now, why now, why not earlier, or later? Why bring in this very draconian measure?The answer is that we are asking people to do something that is difficult and disruptive of their lives.	False	False	False	False	False	False	False	False
85	(1) This regulation applies where Condition A or B (set out in regulation 4) is met in relation to a person (“P”).	False	False	False	False	False	False	False	False
290	New measures will further limit people’s sustained social contact as we tackle the spread of coronavirus, guided by scientific evidence	False	False	True	False	False	False	False	False
612	And, I know that many people would like to hear more detail, some people are calling for exact dates, on what will happen next, and when. We are as being as open as we responsibly can at this stage. And it would not be responsible to pre-judge the evidence that SAGE will have and review in just a few weeks’ time.	False	False	False	False	False	False	False	True
556	Local Government Secretary Rt Hon Robert Jenrick MP said Councillors and staff are already doing the right thing by following our advice to stay home, protect the NHS and save lives. This includes working from home wherever possible, and the new powers to hold meetings virtually will make that easier.	False	False	True	False	False	False	False	False
418	(5)Regulations under subsection (1) must not specify—(a)a date later than 6 May 2021, or	False	False	False	False	False	False	False	False
263	British nationals who become ill overseas should, in the first instance, seek care and support from the country they are in.	False	False	False	False	False	False	False	False
193	As part of the government’s cross-government approach, all government departments have started to engage with industry leads in their respective areas as government, with DCMS due to host a meeting with sporting bodies tomorrow and Defra expected to undertake further meetings with supermarkets this week.	False	False	False	False	False	False	False	True
5	The UK continues to be guided by the latest medical advice about the coronavirus outbreak. The safety and security of British people will always be our top priority	False	False	False	False	False	False	False	True
726	(3) P must self-isolate (b)where P is an asylum seeker, in accommodation provided or arranged under section 4, 95 or 98 of the Immigration and Asylum Act 1999(1),	False	False	True	False	False	False	False	False
761	(1) Subject to regulation 2, a local authority may give a direction imposing prohibitions, requirements or restrictions in relation to the entry into, departure from, or location of persons in, specified premises in the local authority’s area.	True	False	False	False	False	False	False	False
7	British nationals who require assistance can contact the FCO to speak to a member of staff.	False	False	False	False	False	False	False	True
591	(10)Regulations under subsection (9)—(a)may make different provision for different purposes or areas,(b)are subject to the negative procedure.	False	False	False	False	False	False	False	False
535	(11) A local authority may only designate a person for the purposes of this regulation in relation to a requirement in regulation 4	False	False	False	False	False	False	False	False
120	“the permitted period of detention” means the initial period of detention and the authorised extended period.	False	False	False	False	False	False	False	False
