ID,Unique ID,Country,Region,Date,Document name,Document ID,Paragraph text,Paragraph ID,Event 1,Event 2,Event 3,Event 4,Event 5,Event 6,Event 7,Event 8,Sanctions event,Target group,Duration mentioned
1,10001,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office (FCO) now advises against ‘all but essential’ travel to mainland China.",1,0,0,0,Restrictions on international travel,0,0,0,Press release,0,General public,0
2,10002,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,"British people currently in China should make decisions based on their own personal circumstances, bearing in mind that travel may become more difficult in the coming days.",2,0,0,0,Restrictions on international travel,0,0,0,Press release,0,British nationals,0
3,10003,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,Commercial options for departing China remain available except in Hubei Province. The Foreign Office is working to finalise arrangements for evacuating British nationals from Hubei.,3,0,0,0,0,Repatriation of national citizens abroad,0,0,Press release,0,British nationals,0
4,10004,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,"Foreign Secretary Dominic Raab said: Due to the increasing travel restrictions and the public health situation, we now advise against all but essential travel to China.",4,0,0,0,Restrictions on international travel,0,0,0,Press release,0,British nationals,0
5,10005,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,"We are also working urgently to finalise arrangements for an assisted departure from Hubei Province for British nationals this week, and are in contact with people in Hubei to ensure they register their interest and that we can keep them updated.",5,0,0,0,0,Repatriation of national citizens abroad,0,0,Press release,0,British nationals,0
6,10006,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,The UK continues to be guided by the latest medical advice about the coronavirus outbreak. The safety and security of British people will always be our top priority,6,0,0,0,0,0,0,0,Press release,0,British nationals,0
7,10007,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,British people should consider whether they judge that travelling to or staying in China is essential.,7,0,0,0,Restrictions on international travel,0,0,0,Press release,0,British nationals,0
8,10008,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,British nationals who require assistance can contact the FCO to speak to a member of staff.,8,0,0,0,0,0,0,0,Press release,0,British nationals,0
9,10009,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,This advice refers to mainland China. It excludes Hong Kong and Macau.,9,0,0,0,Restrictions on international travel,0,0,0,Press release,0,British nationals,0
10,100010,UK,UK,28.01.2020,Foreign and Commonwealth Office travel advice is updated to recommend against all but essential travel to mainland China,1000,"Due to increasing travel restrictions and difficulty accessing medical assistance, the FCO is working to make an option available for British nationals to leave Hubei Province. This may happen quickly and with short notice. If you’re a British national in Hubei Province and need assistance, contact our 24/7 number +86 (0) 10 8529 6600 or the FCO in London on (+44) (0)207 008 1500 to register your desire to leave before 29 January at 11am local time. You will be contacted once arrangements are confirmed.",10,0,0,0,0,Repatriation of national citizens abroad,0,0,Press release,0,British nationals,0
11,10011,UK,UK,04.02.2020,"
Coronavirus and travel to China: Foreign Secretary's statement, 4 February 2020 ",1001,"In light of the ongoing coronavirus outbreak, the Foreign & Commonwealth Office advises against ‘all but essential’ travel to mainland China and now recommends that British Nationals who are able to leave China do so.",1,0,0,0,Restrictions on international travel,Repatriation of national citizens abroad,0,0,Press release,0,British nationals,0
12,10012,UK,UK,04.02.2020,"
Coronavirus and travel to China: Foreign Secretary's statement, 4 February 2020 ",1001,"Commercial airline options for departing China remain available throughout the country, except in Hubei Province.",2,0,0,0,0,0,0,0,Press release,0,0,0
13,10013,UK,UK,04.02.2020,"
Coronavirus and travel to China: Foreign Secretary's statement, 4 February 2020 ",1001,The Foreign Office continues to work on arrangements to evacuate any remaining British nationals from Hubei Province who wish to leave.,3,0,0,0,0,Repatriation of national citizens abroad,0,0,Press release,0,British nationals,0
14,10014,UK,UK,04.02.2020,"
Coronavirus and travel to China: Foreign Secretary's statement, 4 February 2020 ",1001,"Read the full FCO Travel Advice for China. British nationals in China who need consular support should call +86 (0)10 8529 6600 or the FCO in London on +44 (0) 207 008 1500.
",4,0,0,0,Restrictions on international travel,0,0,0,Publicity of exectuve's measures,0,British nationals,0
