LANGUAGE	ACCURACY	HAMMING	EVENT_ACCURACY	EVENT_HAMMING	F1-SCORE	PRECISION	RECALL	#SAMPLES	%EVENTS
italy	66.7	94.1	36.1	87.8	87.2	87.8	86.9	928	46.01
uk	60.5	93.2	58.3	91.7	91.5	91.7	92	810	61.23
norway	57.1	92.9	50	91.4	89.8	91.4	89.9	277	58.48
france	42.6	89.9	40.5	89.3	88.9	89.3	88.8	465	84.09
hungary	90	98.8	61.9	87.5	87.5	87.5	87.5	95	6.32
poland	80	96.3	75	95.3	95.9	95.3	97.4	95	84.21
belgium	80.2	96.9	50	91.1	90.2	91.1	90.7	1307	24.87
netherlands	77.8	96.5	66.7	94.4	93.7	94.4	94.1	171	40.35
total	67	94.4	48.9	90.8	90.2	90.8	90.3	4148	47.15
dummy	54.7	92.9	0	84.2	77.6	84.2	72.7	-	-
search	-	-	-	-	-	-	-	-	-
